id,1948,1956,1968,1992
12091,1e3fa0,5300ab,439525,874431
12093,2b14be,670097,49872d,59485d
12095,772364,b70047,804539,753058
12097,711b71,a60058,6f5c32,6b3e54
12099,742763,b60048,872f47,582f76
12101,60227c,90006e,6c4d45,594063
12103,8e165a,b90045,832852,5f3d60
12105,552386,8e0070,5e6a35,733159
12107,4b4c66,90006e,447743,583b6a
12109,4a6350,8f006f,57693d,802f4e
12111,613c61,a90055,6d424e,5b4a59
12113,272fa7,5000ae,33ab20,864433
12115,7f2d52,bb0043,a22536,6d3758
12117,543773,a60058,714c40,7b354d
12119,1d3aa7,4f00af,2d9040,5a3c67
12121,1730b6,3f00bf,24a832,663e59
12123,1b36ac,4800b6,28a72f,5f445a
12125,1041ad,2f00cf,1bb62c,6e3659
12127,642377,a1005d,653e5a,61326a
12129,0d39b8,4400ba,1ab42f,624358
12131,2b349e,5400aa,22b625,6b4949
12133,223d9f,5200ac,1bbe25,773352
13001,1633b4,3900c5,2fa12d,6a2c67
13003,0f1ad5,1000ee,1d9c45,5a277b
13005,1547a2,2300db,35b019,632e6c
13007,0634c4,0a00f4,0e9e51,432496
13009,443189,5200ac,53604b,5c247d
13011,100be3,2800d6,2fab23,6b286a
13013,132ac1,2900d5,438634,6e2965
13015,2414c6,4b00b3,3f7d42,742564
13017,1d1fc1,3400ca,328a42,542386
13019,0c1dd4,1000ee,25bb1e,5b2c76
13021,37487e,5300ab,536a41,5d1c84
13023,1546a3,1400ea,35ad1b,652a6e
13025,1a4a9a,2800d6,1ac023,5b3270
13027,1c4e94,3700c7,27a235,69256f
13029,1345a6,3500c9,29993c,772f57
13031,1737af,3500c9,44803a,722862
13033,12af3c,5a00a4,495d57,581e87
13035,0d1ad7,2500d9,317d50,5c2080
13037,1127c5,1600e8,1f825d,3a1fa4
13039,304c81,750089,31824b,762463
13043,1f4a95,3c00c2,329536,5d326e
13045,2420b9,4200bc,428a31,79255e
13047,2c24ae,61009d,37af18,832753
13049,1f4798,3600c8,2b973b,752563
13051,3f4b73,9f005f,565256,701d6f
13053,009965,4900b5,229448,572580
13055,170cdb,4d00b1,338f3b,612676
13057,4a1e96,760088,5b7231,8c2b46
13059,291eb6,5400aa,633b5f,5b1a87
13061,1b16cc,3500c9,1a7b68,3821a5
13063,1a3ba9,3900c5,597e28,692271
13065,182abb,3f00bf,2ba32f,6d2769
13067,361dab,5d00a1,696431,862552
13069,1329c2,2600d8,319735,732664
13071,2731a5,3b00c3,33ac1e,742960
13073,0ec927,5800a6,577630,962740
13075,1329c1,1a00e4,25ae2b,5d257a
13077,1514d5,3800c6,538129,792c58
13079,165c8b,1f00df,268b4c,4e2b84
13081,1c449e,3f00bf,2d9f31,642474
13083,2a19bb,74008a,2eba15,742b5e
13085,860771,750089,518627,6f335b
13087,215687,3800c6,1ba53e,6b246d
13089,4b268d,5700a7,803a44,531793
13091,1537b1,2c00d2,2f9837,5c2779
13093,0814e1,1500e9,249247,4d1a96
13095,2733a3,70008e,4c7e34,661a7d
13097,4d4b65,5200ac,40922b,7f2954
13099,111cd1,1800e6,15b633,592879
13101,0d6a87,3300cb,15d316,654257
13103,1f9b44,82007c,31a428,7a2e56
13105,122ac2,1b00e3,2b9a39,621f7d
13107,194c98,3800c6,36893e,691d75
13109,153cad,3c00c2,379531,6b2969
13111,920468,a4005a,963335,732466
13113,0c3bb7,1800e6,42912a,8d2d43
13115,3816af,780086,58762f,71226a
