state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
13,Grady,37.8,3539,61.6,5775,0.6,57
13,Greene,42.2,3339,57.2,4532,0.6,50
13,Gwinnett,44.3,129025,54.6,158746,1.1,3167
13,Habersham,19.5,2900,79.2,11766,1.3,193
13,Hall,24.0,14457,74.8,44962,1.2,711
13,Hancock,81.3,3535,18.3,795,0.4,18
13,Haralson,20.2,2248,77.8,8658,2.0,224
13,Harris,28.0,4184,71.2,10648,0.8,113
13,Hart,33.6,3365,65.2,6537,1.2,122
13,Heard,24.6,1042,74.0,3133,1.3,56
13,Henry,45.8,40567,53.3,47157,0.9,762
13,Houston,39.4,22094,59.6,33392,1.0,548
13,Irwin,31.2,1197,67.8,2605,1.0,38
13,Jackson,21.5,4950,77.2,17776,1.3,290
13,Jasper,32.7,1935,66.2,3916,1.0,60
13,Jeff Davis,25.7,1356,73.2,3867,1.2,63
13,Jefferson,57.3,4149,42.3,3061,0.3,25
13,Jenkins,43.1,1482,56.2,1936,0.7,24
13,Johnson,32.8,1198,66.5,2426,0.7,26
13,Jones,36.7,4572,62.5,7782,0.9,106
13,Lamar,35.7,2752,63.2,4873,1.0,80
13,Lanier,36.9,1062,62.0,1787,1.1,31
13,Laurens,38.9,7769,60.4,12052,0.7,142
13,Lee,23.6,3100,75.7,9925,0.7,87
13,Liberty,63.9,10474,35.5,5828,0.6,98
13,Lincoln,37.3,1650,61.7,2731,1.0,43
13,Long,37.2,1288,61.2,2119,1.5,53
13,Lowndes,44.8,17597,54.2,21269,1.0,384
13,Lumpkin,23.3,2586,75.0,8326,1.8,196
13,McDuffie,42.2,3989,57.1,5400,0.7,66
13,McIntosh,46.6,2905,52.6,3282,0.8,49
13,Macon,65.2,3251,34.3,1712,0.4,21
13,Madison,26.1,2965,72.4,8226,1.5,174
13,Marion,43.3,1381,55.6,1772,1.1,35
13,Meriwether,46.9,4465,52.3,4982,0.7,71
13,Miller,29.9,818,69.3,1899,0.8,23
13,Mitchell,47.6,3872,51.7,4201,0.7,59
13,Monroe,33.8,4106,65.3,7933,0.9,108
13,Montgomery,29.1,1045,70.2,2521,0.8,27
13,Morgan,33.7,3091,65.3,5987,0.9,87
13,Murray,26.4,3026,71.5,8180,2.1,241
13,Muscogee,59.5,44158,39.9,29568,0.6,436
13,Newton,50.2,20827,49.0,20337,0.8,318
13,Oconee,28.1,4825,70.6,12120,1.3,229
13,Oglethorpe,34.5,2232,64.1,4144,1.3,87
13,Paulding,30.2,17229,68.7,39192,1.1,655
13,Peach,52.9,5927,46.2,5173,0.9,96
