id,margin,bush,gore,trash1,trash2,other,hex_color
08095,45.45%, 70.86%, 25.41%,-, 2.16%,3.730000000000004%,b40940
08097,20.15%, 32.88%, 53.04%,-, 12.99%,14.079999999999998%,532387
08099,36.80%, 66.89%, 30.08%,-,-,3.030000000000001%,aa074c
08101,11.24%, 42.31%, 53.55%,-, 2.82%,4.140000000000001%,6b0a88
08103,57.51%, 76.53%, 19.02%,-, 2.98%,4.450000000000003%,c30b30
08105,27.67%, 61.30%, 33.64%,-, 3.53%,5.060000000000002%,9c0c55
08107,2.74%, 46.40%, 43.66%,-, 8.51%,9.939999999999998%,76196f
08109,2.65%, 42.63%, 45.27%,-, 10.32%,12.099999999999994%,6c1e73
08111,13.99%, 48.17%, 34.17%,-, 13.30%,17.659999999999997%,7a2d57
08113,17.05%, 32.04%, 49.09%,-, 17.20%,18.870000000000005%,51307d
08115,37.84%, 67.31%, 29.47%,-,-,3.219999999999999%,ab084b
08117,7.29%, 40.63%, 47.92%,-, 10.22%,11.449999999999989%,671d7a
08119,37.85%, 65.78%, 27.93%,-, 4.36%,6.289999999999992%,a71047
08121,57.30%, 76.81%, 19.51%,-, 2.04%,3.6799999999999926%,c30931
08123,21.65%, 57.96%, 36.31%,-, 3.78%,5.72999999999999%,930e5c
08125,47.59%, 72.42%, 24.83%,-,-,2.75%,b8073f
09001,9.21%, 43.12%, 52.33%,-, 3.42%,4.550000000000011%,6d0b85
09003,25.49%, 34.68%, 60.17%,-, 3.87%,5.150000000000006%,580d99
09005,3.02%, 44.85%, 47.87%,-, 6.20%,7.280000000000001%,72127a
09007,18.11%, 37.83%, 55.94%,-, 5.22%,6.230000000000004%,600f8e
09009,21.99%, 36.04%, 58.03%,-, 4.56%,5.930000000000007%,5b0f93
09011,17.67%, 37.72%, 55.38%,-, 5.70%,6.900000000000006%,60118d
09013,14.11%, 39.40%, 53.52%,-, 5.92%,7.079999999999998%,641288
09015,16.64%, 38.00%, 54.64%,-, 5.97%,7.359999999999999%,60128b
10001,2.68%, 49.90%, 47.23%,-, 2.24%,2.8700000000000045%,7f0778
10003,22.98%, 36.88%, 59.86%,-, 2.71%,3.259999999999991%,5e0898
10005,7.36%, 52.23%, 44.86%,-, 2.20%,2.9099999999999966%,850772
11001,76.20%, 8.95%, 85.16%,-, 5.24%,5.890000000000001%,160fd9
12001,15.44%, 39.80%, 55.25%,-, 3.76%,4.950000000000003%,650c8c
12003,39.47%, 68.80%, 29.33%,-,-,1.8700000000000045%,af044a
12005,33.65%, 65.70%, 32.06%,-,-,2.239999999999995%,a70551
12007,26.99%, 62.43%, 35.45%,-,-,2.1200000000000045%,9f055a
12009,8.20%, 52.75%, 44.55%,-, 2.05%,2.700000000000003%,860671
