statecounty,margin,nixon,humphrey,wallace,hex_color
13109,37.13, 21.63, 19.60, 58.76,379531
13111,38.12, 58.98, 20.86, 20.16,963335
13113,30.87, 26.22, 16.66, 57.09,42912a
13115,11.77, 34.72, 18.76, 46.49,58762f
13117,22.74, 31.33, 14.60, 54.07,4f8925
13119,46.13, 17.16, 18.36, 64.49,2ba42e
13121,7.65, 35.83, 43.47, 20.66,5b346e
13123,20.26, 51.55, 17.15, 31.30,834f2b
13125,56.79, 19.17, 4.87, 75.96,30c10c
13127,13.12, 30.24, 26.36, 43.36,4d6e43
13129,20.85, 29.99, 19.18, 50.83,4c8130
13131,41.22, 9.67, 24.56, 65.78,18a73e
13133,11.74, 18.58, 46.58, 34.84,2f5876
13135,20.35, 30.59, 18.45, 50.94,4e812f
13137,24.56, 28.32, 18.81, 52.87,48862f
13139,4.57, 36.08, 23.26, 40.65,5c673b
13141,29.07, 10.44, 59.32, 30.25,1a4d97
13143,32.89, 26.51, 14.09, 59.40,439723
13145,19.75, 25.89, 27.18, 46.93,427745
13147,46.69, 12.27, 20.51, 67.20,1fab34
13149,43.98, 16.72, 19.65, 63.63,2aa232
13151,16.21, 25.41, 29.19, 45.40,40734a
13153,21.12, 29.64, 19.58, 50.76,4b8131
13155,51.78, 15.03, 16.57, 68.36,26ae2a
13157,31.48, 18.52, 25.00, 56.48,2f903f
13159,4.10, 20.57, 37.66, 41.77,346a60
13161,47.44, 19.82, 12.92, 67.26,32ab20
13163,3.66, 23.51, 36.39, 40.05,3b665c
13165,21.57, 22.71, 27.86, 49.43,397e47
13167,55.61, 13.28, 15.55, 71.16,21b527
13169,18.64, 19.42, 30.97, 49.61,317e4e
13171,23.17, 20.50, 28.16, 51.34,348247
13173,48.44, 15.63, 17.96, 66.41,27a92d
13175,24.91, 21.33, 26.88, 51.79,368444
13177,23.32, 17.18, 29.73, 53.05,2b874b
13179,5.87, 16.78, 44.55, 38.68,2a6271
13181,36.50, 18.64, 22.43, 58.93,2f9639
13183,26.20, 8.83, 32.48, 58.69,169552
13185,23.36, 27.55, 21.53, 50.91,468136
13187,16.94, 32.24, 18.58, 49.18,527d2f
13189,9.57, 32.89, 24.62, 42.46,536c3e
13191,4.86, 15.01, 44.93, 40.07,266672
13193,19.45, 19.22, 30.67, 50.11,317f4e
13195,50.87, 16.00, 16.56, 67.42,28ab2a
13197,46.96, 14.51, 19.27, 66.22,25a831
13199,14.88, 20.55, 32.29, 47.17,347852
13201,70.68, 10.91, 7.49, 81.60,1bd013
13205,42.46, 12.97, 22.28, 64.73,21a538
13207,12.24, 23.91, 31.93, 44.16,3c7051
13209,40.65, 15.38, 21.98, 62.63,279f38
13211,14.03, 20.67, 32.65, 46.68,347753
13213,12.27, 33.23, 21.27, 45.50,547436
13215,13.33, 32.36, 21.95, 45.69,527437
13217,15.30, 24.87, 29.90, 45.20,3f734c
13219,27.33, 28.16, 16.35, 55.49,478d29
13221,48.18, 14.71, 18.56, 66.73,25aa2f
13223,40.19, 19.33, 20.24, 60.43,319a33
13225,7.07, 23.16, 34.89, 41.96,3b6a58
13227,7.16, 44.50, 18.16, 37.34,715f2e
13229,48.45, 17.93, 15.70, 66.38,2da928
13231,33.48, 14.26, 26.13, 59.61,249842
13233,28.00, 21.68, 25.16, 53.16,378740
13235,36.37, 22.22, 19.19, 58.59,389530
13237,7.47, 21.66, 35.44, 42.91,376d5a
13239,34.94, 12.05, 26.51, 61.45,1e9c43
13241,27.14, 25.38, 22.02, 52.52,408538
13243,13.81, 16.91, 34.64, 48.45,2b7b58
13245,8.88, 41.30, 32.42, 26.26,694252
13247,21.67, 25.85, 26.24, 47.91,417a42
13249,28.39, 15.02, 28.30, 56.68,269048
13251,10.08, 22.04, 33.94, 44.02,387056
13253,62.29, 8.06, 14.80, 77.10,14c425
13255,17.09, 28.03, 26.86, 45.11,477344
13257,29.36, 25.23, 20.17, 54.60,408b33
13259,26.78, 14.09, 29.56, 56.35,238f4b
13261,27.20, 21.04, 25.88, 53.08,358741
13263,11.75, 20.92, 33.66, 45.41,357355
13265,11.99, 16.36, 47.81, 35.83,295b79
13267,46.95, 16.34, 18.35, 65.30,29a62e
13269,34.50, 14.50, 25.50, 60.00,249941
13271,34.37, 16.90, 24.37, 58.73,2b953e
13273,14.45, 15.06, 35.23, 49.68,267e59
13275,24.85, 22.87, 26.13, 50.98,3a8142
13277,32.99, 24.81, 17.40, 57.79,3f932c
