id,margin,bush,kerry,other3,other2,other1
12063,23.06%, 61.20%, 38.14%,-,-, 0.66%
12065,11.19%, 44.10%, 55.30%,-,-, 0.60%
12067,48.57%, 73.98%, 25.41%,-,-, 0.60%
12069,21.11%, 60.02%, 38.90%,-,-, 1.08%
12071,20.91%, 59.91%, 39.00%,-,-, 1.09%
12073,23.65%, 37.85%, 61.50%,-,-, 0.65%
12075,26.04%, 62.52%, 36.48%,-,-, 1.01%
12077,28.37%, 63.79%, 35.42%,-,-, 0.79%
12079,1.70%, 50.47%, 48.77%,-,-, 0.76%
12081,13.96%, 56.62%, 42.66%,-,-, 0.72%
12083,17.19%, 58.19%, 41.00%,-,-, 0.80%
12085,15.39%, 57.09%, 41.69%,-,-, 1.22%
12086,6.28%, 46.61%, 52.89%,-,-, 0.50%
12087,0.47%, 49.24%, 49.71%,-,-, 1.05%
12089,46.45%, 72.64%, 26.18%,-,-, 1.18%
12091,56.07%, 77.65%, 21.58%,-,-, 0.77%
12093,14.97%, 57.24%, 42.27%,-,-, 0.48%
12095,0.21%, 49.62%, 49.83%,-,-, 0.55%
12097,5.45%, 52.45%, 47.00%,-,-, 0.55%
12099,21.30%, 39.05%, 60.35%,-,-, 0.60%
12101,9.68%, 54.07%, 44.39%,-,-, 1.54%
12103,0.05%, 49.56%, 49.51%,-,-, 0.92%
12105,17.81%, 58.61%, 40.80%,-,-, 0.60%
12107,19.05%, 59.12%, 40.07%,-,-, 0.81%
12109,38.01%, 68.60%, 30.59%,-,-, 0.81%
12111,4.24%, 47.56%, 51.80%,-,-, 0.64%
12113,55.57%, 77.35%, 21.78%,-,-, 0.88%
12115,8.31%, 53.51%, 45.20%,-,-, 1.29%
12117,16.76%, 58.10%, 41.34%,-,-, 0.56%
12119,25.80%, 62.18%, 36.38%,-,-, 1.44%
12121,41.96%, 70.58%, 28.62%,-,-, 0.80%
12123,28.18%, 63.71%, 35.53%,-,-, 0.76%
12125,45.88%, 72.64%, 26.76%,-,-, 0.60%
12127,1.57%, 48.89%, 50.46%,-,-, 0.65%
12129,15.99%, 57.61%, 41.62%,-,-, 0.77%
12131,47.31%, 73.22%, 25.91%,-,-, 0.87%
12133,43.00%, 71.09%, 28.09%,-,-, 0.82%
13001,41.52%, 70.52%, 29.00%,-,-, 0.49%
13003,35.06%, 67.37%, 32.31%,-,-, 0.32%
13005,50.71%, 75.24%, 24.53%,-,-, 0.24%
13007,6.52%, 46.52%, 53.03%,-,-, 0.45%
13009,6.41%, 52.89%, 46.48%,-,-, 0.62%
