id,margin,romney,obama,other
13109,28.05%, 63.62%, 35.57%, 0.81%
13111,57.94%, 78.10%, 20.16%, 1.74%
13113,31.23%, 64.83%, 33.61%, 1.56%
13115,39.76%, 69.04%, 29.28%, 1.68%
13117,62.68%, 80.47%, 17.79%, 1.74%
13119,59.34%, 78.62%, 19.27%, 2.11%
13121,29.71%, 34.42%, 64.13%, 1.44%
13123,63.04%, 80.76%, 17.71%, 1.53%
13125,71.78%, 84.96%, 13.17%, 1.87%
13127,26.94%, 62.95%, 36.00%, 1.05%
13129,57.60%, 77.91%, 20.31%, 1.78%
13131,26.61%, 62.93%, 36.32%, 0.74%
13133,22.46%, 60.90%, 38.44%, 0.66%
13135,9.20%, 53.76%, 44.56%, 1.68%
13137,67.22%, 82.90%, 15.68%, 1.42%
13139,56.06%, 77.19%, 21.13%, 1.68%
13141,62.08%, 18.80%, 80.88%, 0.32%
13143,63.97%, 81.16%, 17.19%, 1.65%
13145,45.44%, 72.14%, 26.71%, 1.15%
13147,38.27%, 68.39%, 30.12%, 1.49%
13149,52.94%, 75.63%, 22.69%, 1.68%
13151,3.29%, 51.10%, 47.81%, 1.09%
13153,20.56%, 59.58%, 39.02%, 1.39%
13155,37.61%, 68.34%, 30.72%, 0.94%
13157,62.74%, 80.59%, 17.85%, 1.57%
13159,37.92%, 68.45%, 30.54%, 1.01%
13161,50.96%, 74.85%, 23.88%, 1.27%
13163,17.29%, 41.08%, 58.36%, 0.56%
13165,11.76%, 55.60%, 43.84%, 0.56%
13167,30.06%, 64.62%, 34.56%, 0.82%
13169,28.63%, 63.90%, 35.27%, 0.83%
13171,30.18%, 64.36%, 34.18%, 1.46%
13173,23.71%, 61.11%, 37.41%, 1.48%
13175,22.59%, 60.85%, 38.26%, 0.90%
13177,52.16%, 75.58%, 23.42%, 1.00%
13179,30.21%, 34.36%, 64.57%, 1.07%
13181,27.56%, 63.36%, 35.80%, 0.84%
13183,22.65%, 60.45%, 37.80%, 1.76%
13185,9.83%, 54.38%, 44.54%, 1.08%
13187,60.21%, 78.98%, 18.77%, 2.25%
13189,14.90%, 57.00%, 42.10%, 0.90%
13191,8.58%, 53.65%, 45.07%, 1.27%
13193,34.81%, 32.28%, 67.09%, 0.63%
13195,53.44%, 75.84%, 22.40%, 1.76%
13197,10.10%, 54.51%, 44.42%, 1.07%
13199,5.66%, 52.36%, 46.70%, 0.94%
13201,37.88%, 68.53%, 30.65%, 0.83%
13205,0.89%, 50.18%, 49.28%, 0.54%
13207,37.22%, 68.00%, 30.78%, 1.21%
13209,39.82%, 69.41%, 29.60%, 0.99%
13211,37.97%, 68.42%, 30.45%, 1.13%
13213,52.43%, 75.02%, 22.59%, 0.37%
13215,21.30%, 38.90%, 60.20%, 0.89%
13217,2.01%, 48.45%, 50.45%, 1.10%
13219,48.59%, 73.34%, 24.76%, 1.90%
13221,37.18%, 67.64%, 30.45%, 1.91%
13223,43.48%, 70.98%, 27.50%, 1.52%
13225,7.46%, 45.83%, 53.29%, 0.88%
13227,67.49%, 83.03%, 15.55%, 1.42%
13229,66.27%, 82.67%, 16.40%, 0.93%
13231,65.27%, 81.93%, 16.66%, 1.41%
13233,45.40%, 71.89%, 26.49%, 1.63%
13235,33.24%, 66.32%, 33.08%, 0.60%
13237,35.64%, 67.34%, 31.70%, 0.95%
13239,9.04%, 45.21%, 54.26%, 0.53%
13241,56.20%, 77.08%, 20.88%, 2.04%
13243,16.31%, 41.54%, 57.84%, 0.62%
13245,33.74%, 32.64%, 66.39%, 0.97%
13247,16.53%, 41.19%, 57.72%, 1.09%
13249,47.83%, 73.40%, 25.57%, 1.03%
13251,8.39%, 53.79%, 45.39%, 0.82%
13253,20.31%, 59.44%, 39.13%, 1.43%
13255,19.94%, 59.31%, 39.37%, 1.31%
13257,53.39%, 75.74%, 22.35%, 1.91%
13259,27.84%, 35.89%, 63.73%, 0.39%
13261,8.41%, 45.36%, 53.77%, 0.87%
13263,30.43%, 34.41%, 64.84%, 0.74%
13265,32.50%, 33.54%, 66.04%, 0.42%
13267,42.07%, 70.48%, 28.41%, 1.11%
13269,10.62%, 55.03%, 44.41%, 0.56%
13271,15.56%, 57.17%, 41.61%, 1.22%
13273,16.11%, 41.62%, 57.73%, 0.66%
13275,18.44%, 58.74%, 40.30%, 0.96%
13277,32.46%, 65.88%, 33.42%, 0.70%
13279,40.38%, 69.72%, 29.35%, 0.93%
13281,57.70%, 78.09%, 20.39%, 1.52%
13283,21.01%, 60.05%, 39.04%, 0.91%
13285,17.79%, 58.30%, 40.51%, 1.19%
13287,14.52%, 56.85%, 42.33%, 0.81%
