id,margin,landon,roosevelt,other,hex_color
08039,1.98%, 49.50%, 47.51%, 0.25%,7e0079
08041,17.02%, 39.82%, 56.84%, 0.42%,650190
08043,9.93%, 42.91%, 52.84%, 0.32%,6d0086
08045,10.18%, 42.95%, 53.14%, 0.40%,6d0187
08047,38.53%, 29.81%, 68.34%, 1.86%,4c04ae
08049,8.42%, 45.54%, 53.95%, 0.51%,740189
08051,37.36%, 30.42%, 67.78%, 1.80%,4d04ac
08053,2.96%, 47.78%, 50.74%, 1.48%,790381
08055,34.95%, 32.22%, 67.17%, 0.62%,5201ab
08057,1.58%, 47.29%, 48.87%, 0.23%,78007c
08059,15.69%, 41.10%, 56.79%, 2.11%,680590
08061,8.43%, 44.57%, 53.00%, 2.42%,710687
08063,6.41%, 50.76%, 44.35%, 0.33%,810071
08065,52.99%, 23.03%, 76.02%, 0.96%,3a02c1
08067,12.30%, 42.19%, 54.49%, 0.47%,6b018a
08069,1.83%, 47.59%, 49.41%, 0.44%,79017d
08071,50.60%, 24.49%, 75.08%, 0.43%,3e01bf
08073,7.59%, 44.89%, 52.48%, 0.25%,720085
08075,12.69%, 42.61%, 55.30%, 2.09%,6c058d
08077,33.63%, 29.47%, 63.10%, 0.56%,4b01a0
08079,38.13%, 30.22%, 68.35%, 1.44%,4d03ae
08081,6.01%, 42.14%, 48.14%, 0.44%,6b017a
08083,17.60%, 38.89%, 56.49%, 1.00%,630290
08085,12.72%, 41.44%, 54.16%, 0.94%,69028a
08087,1.36%, 47.18%, 48.54%, 0.32%,78007b
08089,19.61%, 39.49%, 59.10%, 1.41%,640396
08091,22.31%, 38.35%, 60.66%, 0.99%,61029a
08093,27.96%, 35.36%, 63.32%, 1.33%,5a03a1
08095,25.39%, 36.15%, 61.54%, 2.31%,5c059c
08097,34.81%, 29.99%, 64.80%, 1.28%,4c03a5
08099,8.38%, 43.91%, 52.28%, 0.25%,6f0085
08101,29.39%, 34.46%, 63.85%, 1.69%,5704a2
08103,16.33%, 55.78%, 39.45%, 0.27%,8e0064
08105,15.25%, 41.64%, 56.90%, 1.46%,6a0391
08107,27.89%, 33.68%, 61.57%, 0.98%,55029d
08109,10.22%, 43.79%, 54.01%, 2.21%,6f0589
08111,51.33%, 23.61%, 74.94%, 1.45%,3c03bf
08113,31.68%, 32.12%, 63.80%, 0.59%,5101a2
08115,15.82%, 40.57%, 56.40%, 0.21%,67008f
08117,29.65%, 34.85%, 64.50%, 0.65%,5801a4
08119,41.83%, 27.91%, 69.74%, 2.35%,4705b1
08121,8.96%, 44.34%, 53.29%, 0.26%,710087
08123,14.54%, 41.23%, 55.77%, 0.44%,69018e
08125,7.65%, 45.26%, 52.90%, 1.84%,730486
09001,11.93%, 41.56%, 53.49%, 2.23%,690588
09003,21.44%, 37.23%, 58.67%, 0.80%,5e0295
09005,3.72%, 50.68%, 46.97%, 2.35%,810577
09007,5.81%, 46.34%, 52.14%, 1.52%,760384
09009,19.89%, 37.44%, 57.33%, 1.06%,5f0292
09011,7.61%, 44.79%, 52.41%, 0.72%,720185
09013,5.42%, 45.43%, 50.85%, 0.75%,730181
09015,4.57%, 46.00%, 50.57%, 0.56%,750180
10001,12.93%, 43.45%, 56.38%, 0.16%,6e008f
10003,11.03%, 44.13%, 55.17%, 0.70%,70018c
10005,3.23%, 48.31%, 51.54%, 0.15%,7b0083
11001,0%,-,-,-,000000
12001,68.65%, 15.67%, 84.33%,-,2700d7
12003,86.12%, 6.94%, 93.06%,-,1100ed
