id,1948,1956,1964,1968,1992
8071,4e03ac,81007c,3700c6,540d9c,432595
8073,80017c,9c0062,73008a,911953,774046
8075,7f017d,a40059,73008b,911854,684253
8077,6e038d,a0005e,640099,7e1867,693c57
8079,6d0090,9f005e,4c00b0,6f1579,5a4261
8081,860375,af004f,760088,9e1c43,5a5d45
8083,7d027f,a2015b,6d0090,8f1f4e,68494b
8085,7b047e,9e0060,650098,861c5a,694350
8087,880274,a3005a,6d0090,9c144e,6a3e55
8089,5401a9,9c0061,5f009e,7e1369,5f306a
8091,8c0270,a80155,6f008d,842752,694b4a
8093,8d026f,b3004a,7c0082,952147,5b534d
8095,850573,a1005d,72008c,911854,773a4c
8097,6c078a,9e0060,5b00a2,8f115b,394182
8099,7e027e,92006b,5900a4,7d166a,703853
8101,5c049d,850574,4400b7,57148f,482c88
8103,8e026d,b60048,780086,a4193f,6e4745
8105,860077,a80056,70008e,940b5f,6c3a56
8107,680491,92006b,5e009f,89195c,495063
8109,780184,93016a,5b00a2,850f69,4f3776
8111,77087e,94006a,5000ae,752a5f,426752
8113,6a0390,93006a,5700a7,871364,3c3c84
8115,8b0171,a2005c,7c0082,9b0f54,634158
8117,6e018e,a4005a,690094,921952,445265
8119,7b0380,a90055,74008a,852e4a,704745
8121,8d0170,a60057,83007b,9b2141,7b4140
