id,margin,eisenhower,stevenson,other,hex_color
12133,34.58%, 32.71%, 67.29%,-,5300ab
13001,50.69%, 24.65%, 75.35%,-,3e00c0
13003,77.88%, 11.06%, 88.94%,-,1c00e2
13005,47.15%, 26.42%, 73.58%,-,4300bb
13007,73.28%, 13.36%, 86.64%,-,2200dc
13009,38.76%, 30.62%, 69.38%,-,4e00b0
13011,72.04%, 13.98%, 86.02%,-,2300db
13013,81.87%, 9.07%, 90.93%,-,1700e7
13015,54.11%, 22.94%, 77.06%,-,3a00c4
13017,49.22%, 25.39%, 74.61%,-,4000be
13019,71.46%, 14.27%, 85.73%,-,2400da
13021,41.17%, 29.42%, 70.58%,-,4b00b3
13023,78.05%, 10.97%, 89.03%,-,1b00e3
13025,59.35%, 20.32%, 79.68%,-,3300cb
13027,39.98%, 30.01%, 69.99%,-,4c00b2
13029,49.16%, 25.42%, 74.58%,-,4000be
13031,59.85%, 20.08%, 79.92%,-,3300cb
13033,10.90%, 44.55%, 55.45%,-,71008d
13035,81.99%, 9.00%, 91.00%,-,1600e8
13037,69.28%, 15.36%, 84.64%,-,2700d7
13039,34.98%, 32.51%, 67.49%,-,5200ac
13043,54.87%, 22.57%, 77.43%,-,3900c5
13045,62.69%, 18.65%, 81.35%,-,2f00cf
13047,23.79%, 38.10%, 61.90%,-,61009d
13049,47.78%, 26.11%, 73.89%,-,4200bc
13051,3.89%, 51.94%, 48.06%,-,84007a
13053,22.75%, 38.62%, 61.38%,-,62009c
13055,64.85%, 17.57%, 82.43%,-,2c00d2
13057,20.49%, 39.75%, 60.25%,-,650099
13059,51.08%, 24.46%, 75.54%,-,3e00c0
13061,46.42%, 26.79%, 73.21%,-,4400ba
13063,53.48%, 23.26%, 76.74%,-,3b00c3
13065,53.89%, 23.06%, 76.94%,-,3a00c4
13067,41.96%, 29.02%, 70.98%,-,4a00b4
13069,50.66%, 24.67%, 75.33%,-,3e00c0
13071,52.40%, 23.80%, 76.20%,-,3c00c2
13073,23.13%, 38.43%, 61.57%,-,61009d
13075,71.19%, 14.41%, 85.59%,-,2400da
13077,70.95%, 14.52%, 85.48%,-,2500d9
13079,73.47%, 13.27%, 86.73%,-,2100dd
13081,38.08%, 30.96%, 69.04%,-,4e00b0
13083,30.78%, 34.61%, 65.39%,-,5800a6
13085,24.19%, 37.90%, 62.10%,-,60009e
13087,44.11%, 27.95%, 72.05%,-,4700b7
13089,14.48%, 42.76%, 57.24%,-,6d0091
13091,76.71%, 11.64%, 88.36%,-,1d00e1
13093,79.91%, 10.05%, 89.95%,-,1900e5
13095,27.26%, 36.37%, 63.63%,-,5c00a2
13097,53.04%, 23.48%, 76.52%,-,3b00c3
13099,70.90%, 14.55%, 85.45%,-,2500d9
13101,69.97%, 15.02%, 84.98%,-,2600d8
13103,1.78%, 50.89%, 49.11%,-,81007d
13105,71.18%, 14.41%, 85.59%,-,2400da
13107,59.98%, 20.01%, 79.99%,-,3300cb
13109,47.74%, 26.13%, 73.87%,-,4200bc
13111,20.57%, 60.29%, 39.71%,-,990065
13113,72.32%, 13.84%, 86.16%,-,2300db
13115,30.33%, 34.84%, 65.16%,-,5800a6
13117,44.37%, 27.82%, 72.18%,-,4600b8
13119,77.22%, 11.39%, 88.61%,-,1d00e1
13121,19.69%, 40.15%, 59.85%,-,660098
13123,1.30%, 49.35%, 50.65%,-,7d0081
13125,24.10%, 37.95%, 62.05%,-,60009e
13127,13.05%, 43.47%, 56.53%,-,6e0090
13129,42.91%, 28.54%, 71.46%,-,4800b6
13131,62.45%, 18.77%, 81.23%,-,2f00cf
13133,70.81%, 14.60%, 85.40%,-,2500d9
13135,71.17%, 14.42%, 85.58%,-,2400da
13137,48.37%, 25.81%, 74.19%,-,4100bd
13139,53.68%, 23.16%, 76.84%,-,3b00c3
13141,64.68%, 17.66%, 82.34%,-,2d00d1
13143,28.73%, 35.64%, 64.36%,-,5a00a4
13145,43.27%, 28.36%, 71.64%,-,4800b6
13147,88.17%, 5.92%, 94.08%,-,0f00ef
13149,73.20%, 13.40%, 86.60%,-,2200dc
13151,64.80%, 17.60%, 82.40%,-,2c00d2
13153,69.03%, 15.48%, 84.52%,-,2700d7
13155,48.17%, 25.92%, 74.08%,-,4200bc
13157,78.19%, 10.91%, 89.09%,-,1b00e3
13159,65.79%, 17.10%, 82.90%,-,2b00d3
13161,56.57%, 21.72%, 78.28%,-,3700c7
13163,32.97%, 33.51%, 66.49%,-,5500a9
13165,52.02%, 23.99%, 76.01%,-,3d00c1
13167,68.03%, 15.99%, 84.01%,-,2800d6
13169,67.39%, 16.30%, 83.70%,-,2900d5
13171,56.69%, 21.66%, 78.34%,-,3700c7
13173,66.50%, 16.75%, 83.25%,-,2a00d4
13175,65.40%, 17.30%, 82.70%,-,2c00d2
13177,31.09%, 34.45%, 65.55%,-,5700a7
13179,47.38%, 26.31%, 73.69%,-,4300bb
13181,32.65%, 33.68%, 66.32%,-,5500a9
13183,24.39%, 37.80%, 62.20%,-,60009e
13185,21.90%, 39.05%, 60.95%,-,63009b
13187,45.87%, 27.07%, 72.93%,-,4500b9
13189,11.35%, 44.32%, 55.68%,-,71008d
13191,18.01%, 40.99%, 59.01%,-,680096
13193,64.38%, 17.81%, 82.19%,-,2d00d1
13195,78.81%, 10.59%, 89.41%,-,1b00e3
13197,56.30%, 21.85%, 78.15%,-,3700c7
13199,73.98%, 13.01%, 86.99%,-,2100dd
13201,75.76%, 12.12%, 87.88%,-,1e00e0
13205,67.11%, 16.44%, 83.56%,-,2900d5
13207,65.53%, 17.23%, 82.77%,-,2b00d3
