id,margin,dewey,roosevelt,other,hex_color
12073,68.73%, 15.64%, 84.36%,-,2700d7
12075,80.70%, 9.65%, 90.35%,-,1800e6
12077,88.55%, 5.72%, 94.28%,-,0e00f0
12079,73.45%, 13.28%, 86.72%,-,2100dd
12081,34.40%, 32.80%, 67.20%,-,5300ab
12083,54.63%, 22.68%, 77.32%,-,3900c5
12085,28.86%, 35.57%, 64.43%,-,5a00a4
12086,32.88%, 33.56%, 66.44%,-,5500a9
12087,74.55%, 12.72%, 87.28%,-,2000de
12089,56.43%, 21.79%, 78.21%,-,3700c7
12091,64.26%, 17.87%, 82.13%,-,2d00d1
12093,72.71%, 13.65%, 86.35%,-,2200dc
12095,15.27%, 42.36%, 57.64%,-,6c0092
12097,11.48%, 44.26%, 55.74%,-,70008e
12099,18.51%, 40.75%, 59.25%,-,670097
12101,30.22%, 34.89%, 65.11%,-,5800a6
12103,15.43%, 42.28%, 57.72%,-,6b0093
12105,43.72%, 28.14%, 71.86%,-,4700b7
12107,43.12%, 28.44%, 71.56%,-,4800b6
12109,40.82%, 29.59%, 70.41%,-,4b00b3
12111,39.65%, 30.17%, 69.83%,-,4c00b2
12113,50.30%, 24.85%, 75.15%,-,3f00bf
12115,24.03%, 37.99%, 62.01%,-,60009e
12117,37.00%, 31.50%, 68.50%,-,5000ae
12119,73.89%, 13.06%, 86.94%,-,2100dd
12121,67.90%, 16.05%, 83.95%,-,2800d6
12123,83.44%, 8.28%, 91.72%,-,1500e9
12125,79.74%, 10.13%, 89.87%,-,1900e5
12127,14.39%, 42.80%, 57.20%,-,6d0091
12129,86.62%, 6.69%, 93.31%,-,1100ed
12131,57.70%, 21.15%, 78.85%,-,3500c9
12133,54.03%, 22.98%, 77.02%,-,3a00c4
13001,54.60%, 22.70%, 77.30%,-,3900c5
13003,78.97%, 10.51%, 89.49%,-,1a00e4
13005,55.24%, 22.38%, 77.62%,-,3900c5
13007,87.82%, 6.09%, 93.91%,-,0f00ef
13009,61.96%, 19.02%, 80.98%,-,3000ce
13011,58.97%, 20.19%, 79.16%, 0.65%,3301c9
13013,70.96%, 14.52%, 85.48%,-,2500d9
13015,58.20%, 20.90%, 79.10%,-,3500c9
13017,69.20%, 15.36%, 84.56%, 0.08%,2700d7
13019,74.44%, 12.78%, 87.22%,-,2000de
13021,47.93%, 26.04%, 73.96%,-,4200bc
13023,58.56%, 20.72%, 79.28%,-,3400ca
13025,62.65%, 18.67%, 81.33%,-,2f00cf
13027,66.39%, 16.81%, 83.19%,-,2a00d4
13029,76.86%, 11.57%, 88.43%,-,1d00e1
13031,75.03%, 12.48%, 87.52%,-,1f00df
13033,71.19%, 14.41%, 85.59%,-,2400da
13035,87.99%, 6.01%, 93.99%,-,0f00ef
13037,90.43%, 4.79%, 95.21%,-,0c00f2
13039,75.95%, 12.03%, 87.97%,-,1e00e0
13043,65.11%, 17.45%, 82.55%,-,2c00d2
13045,65.11%, 17.45%, 82.55%,-,2c00d2
13047,57.25%, 21.37%, 78.63%,-,3600c8
13049,67.70%, 16.15%, 83.85%,-,2900d5
13051,61.83%, 19.09%, 80.91%,-,3000ce
13053,68.07%, 15.97%, 84.03%,-,2800d6
13055,79.37%, 10.32%, 89.68%,-,1a00e4
13057,12.01%, 44.00%, 56.00%,-,70008e
13059,83.82%, 8.09%, 91.91%,-,1400ea
13061,85.32%, 7.34%, 92.66%,-,1200ec
13063,76.33%, 11.81%, 88.14%, 0.05%,1e00e0
13065,80.19%, 9.91%, 90.09%,-,1900e5
13067,57.51%, 21.25%, 78.75%,-,3600c8
13069,63.23%, 18.38%, 81.62%,-,2e00d0
13071,53.66%, 23.17%, 76.83%,-,3b00c3
13073,75.17%, 12.41%, 87.59%,-,1f00df
13075,69.98%, 15.01%, 84.99%,-,2600d8
13077,90.64%, 4.68%, 95.32%,-,0b00f3
13079,43.13%, 28.44%, 71.56%,-,4800b6
13081,69.35%, 15.32%, 84.68%,-,2700d7
13083,69.60%, 15.20%, 84.80%,-,2600d8
13085,15.66%, 42.17%, 57.83%,-,6b0093
13087,69.05%, 15.47%, 84.53%,-,2700d7
13089,65.05%, 17.47%, 82.52%, 0.01%,2c00d2
13091,71.68%, 14.16%, 85.84%,-,2400da
13093,81.33%, 9.33%, 90.67%,-,1700e7
13095,80.89%, 9.56%, 90.44%,-,1800e6
13097,49.46%, 25.27%, 74.73%,-,4000be
13099,91.58%, 4.21%, 95.79%,-,0a00f4
13101,83.46%, 8.27%, 91.73%,-,1500e9
13103,8.52%, 45.74%, 54.26%,-,74008a
13105,61.67%, 19.11%, 80.79%, 0.10%,3000ce
13107,67.49%, 16.23%, 83.72%, 0.05%,2900d5
13109,73.11%, 13.39%, 86.50%, 0.11%,2200dc
13111,20.81%, 60.40%, 39.60%,-,9a0064
13113,77.73%, 11.14%, 88.86%,-,1c00e2
13115,61.85%, 19.08%, 80.92%,-,3000ce
