id,margin,eisenhower,stevenson,other,hex_color
12059,41.67%,29.17%,70.83%,0.00%,4a00b4
12061,40.99%,70.49%,29.51%,0.00%,b3004b
12063,40.28%,29.86%,70.14%,0.00%,4c00b2
12065,37.97%,31.02%,68.98%,0.00%,4f00af
12067,69.86%,15.07%,84.93%,0.00%,2600d8
12069,43.13%,71.57%,28.43%,0.00%,b60048
12071,25.20%,62.60%,37.40%,0.00%,9f005f
12073,1.40%,49.30%,50.70%,0.00%,7d0081
12075,32.20%,33.90%,66.10%,0.00%,5600a8
12077,57.04%,21.48%,78.52%,0.00%,3600c8
12079,33.98%,33.01%,66.99%,0.00%,5400aa
12081,37.63%,68.82%,31.18%,0.00%,af004f
12083,1.99%,50.99%,49.01%,0.00%,82007c
12085,36.72%,68.36%,31.64%,0.00%,ae0050
12086,10.73%,55.37%,44.63%,0.00%,8d0071
12087,12.92%,43.54%,56.46%,0.00%,6f008f
12089,23.38%,38.31%,61.69%,0.00%,61009d
12091,34.68%,32.66%,67.34%,0.00%,5300ab
12093,18.44%,40.78%,59.22%,0.00%,670097
12095,44.12%,72.06%,27.94%,0.00%,b70047
12097,30.39%,65.19%,34.81%,0.00%,a60058
12099,42.79%,71.40%,28.60%,0.00%,b60048
12101,13.63%,56.82%,43.18%,0.00%,90006e
12103,45.11%,72.55%,27.45%,0.00%,b90045
12105,11.95%,55.98%,44.02%,0.00%,8e0070
12107,13.16%,56.58%,43.42%,0.00%,90006e
12109,12.87%,56.44%,43.56%,0.00%,8f006f
12111,33.11%,66.56%,33.44%,0.00%,a90055
12113,36.92%,31.54%,68.46%,0.00%,5000ae
12115,46.79%,73.40%,26.60%,0.00%,bb0043
12117,30.29%,65.15%,34.85%,0.00%,a60058
12119,37.40%,31.30%,68.70%,0.00%,4f00af
12121,50.30%,24.85%,75.15%,0.00%,3f00bf
12123,42.96%,28.52%,71.48%,0.00%,4800b6
12125,62.93%,18.54%,81.46%,0.00%,2f00cf
12127,26.81%,63.40%,36.60%,0.00%,a1005d
12129,46.42%,26.79%,73.21%,0.00%,4400ba
12131,33.51%,33.24%,66.76%,0.00%,5400aa
12133,35.63%,32.18%,67.82%,0.00%,5200ac
13001,54.52%,22.74%,77.26%,0.00%,3900c5
13003,86.75%,6.63%,93.37%,0.00%,1000ee
13005,72.24%,13.88%,86.12%,0.00%,2300db
13007,92.15%,3.93%,96.07%,0.00%,0a00f4
13009,35.62%,32.19%,67.81%,0.00%,5200ac
13011,68.20%,15.90%,84.10%,0.00%,2800d6
13013,67.36%,16.32%,83.68%,0.00%,2900d5
13015,40.65%,29.68%,70.32%,0.00%,4b00b3
13017,59.02%,20.49%,79.51%,0.00%,3400ca
13019,87.12%,6.44%,93.56%,0.00%,1000ee
13021,34.78%,32.61%,67.39%,0.00%,5300ab
13023,83.74%,8.13%,91.87%,0.00%,1400ea
13025,68.25%,15.88%,84.12%,0.00%,2800d6
13027,56.76%,21.62%,78.38%,0.00%,3700c7
13029,57.91%,21.04%,78.96%,0.00%,3500c9
13031,58.24%,20.88%,79.12%,0.00%,3500c9
13033,28.65%,35.68%,64.32%,0.00%,5a00a4
13035,70.74%,14.63%,85.37%,0.00%,2500d9
13037,82.18%,8.91%,91.09%,0.00%,1600e8
13039,7.48%,46.26%,53.74%,0.00%,750089
