id,margin,bush,gore,trash,trash2,other
13029,37.72%, 68.49%, 30.77%,-,-, 0.74%
13031,23.20%, 60.82%, 37.62%,-,-, 1.56%
13033,4.75%, 47.39%, 52.14%,-,-, 0.48%
13035,16.27%, 56.75%, 40.48%,-,-, 2.77%
13037,17.97%, 40.70%, 58.66%,-,-, 0.64%
13039,27.03%, 62.96%, 35.93%,-,-, 1.11%
13043,21.68%, 60.36%, 38.68%,-,-, 0.96%
13045,29.42%, 63.42%, 34.00%,-,-, 2.58%
13047,37.04%, 67.90%, 30.87%,-,-, 1.23%
13049,26.81%, 62.86%, 36.04%,-,-, 1.10%
13051,0.34%, 49.49%, 49.15%,-,-, 1.36%
13053,0.83%, 48.88%, 49.71%,-,-, 1.41%
13055,14.07%, 56.20%, 42.13%,-,-, 1.67%
13057,49.17%, 72.65%, 23.49%,-,-, 1.07%
13059,11.48%, 41.00%, 52.47%,-, 4.31%, 2.21%
13061,29.21%, 35.08%, 64.29%,-,-, 0.63%
13063,32.70%, 32.52%, 65.21%,-,-, 2.27%
13065,14.26%, 56.56%, 42.30%,-,-, 1.14%
13067,22.90%, 59.78%, 36.88%,-,-, 1.25%
13069,22.94%, 61.04%, 38.10%,-,-, 0.86%
13071,33.01%, 66.08%, 33.06%,-,-, 0.86%
13073,49.13%, 74.04%, 24.91%,-,-, 1.05%
13075,16.23%, 57.78%, 41.56%,-,-, 0.66%
13077,39.30%, 68.30%, 29.00%,-,-, 2.70%
13079,13.29%, 55.71%, 42.42%,-,-, 1.88%
13081,18.13%, 58.57%, 40.44%,-,-, 1.00%
13083,33.77%, 66.01%, 32.24%,-,-, 1.74%
13085,46.66%, 71.38%, 24.72%,-,-, 1.41%
13087,10.32%, 54.75%, 44.43%,-,-, 0.82%
13089,43.50%, 26.73%, 70.24%,-,-, 3.03%
13091,19.50%, 59.08%, 39.58%,-,-, 1.34%
13093,8.89%, 45.11%, 54.01%,-,-, 0.88%
13095,15.15%, 42.14%, 57.29%,-,-, 0.57%
13097,24.97%, 61.02%, 36.05%,-,-, 2.94%
13099,8.81%, 54.06%, 45.24%,-,-, 0.70%
13101,38.08%, 68.37%, 30.29%,-,-, 1.34%
13103,38.44%, 68.79%, 30.35%,-,-, 0.86%
13105,12.56%, 55.73%, 43.17%,-,-, 1.09%
13107,8.11%, 53.38%, 45.27%,-,-, 1.36%
13109,20.26%, 59.77%, 39.51%,-,-, 0.71%
13111,32.50%, 65.11%, 32.61%,-,-, 2.28%
13113,41.05%, 69.11%, 28.06%,-,-, 2.82%
13115,22.04%, 60.37%, 38.33%,-,-, 1.30%
13117,58.94%, 77.66%, 18.72%,-,-, 0.81%
13119,28.10%, 63.50%, 35.40%,-,-, 1.09%
13121,17.92%, 39.84%, 57.76%,-,-, 2.39%
13123,36.78%, 67.04%, 30.26%,-,-, 2.70%
13125,50.39%, 74.80%, 24.41%,-,-, 0.78%
13127,29.34%, 64.09%, 34.75%,-,-, 1.16%
13129,32.05%, 65.09%, 33.04%,-,-, 1.88%
