id,margin,willkie,roosevelt,other,hex_color
12029,88.83%, 5.59%, 94.41%,-,0e00f0
12031,63.42%, 18.29%, 81.71%,-,2e00d0
12033,75.62%, 12.19%, 87.81%,-,1f00df
12035,60.52%, 19.74%, 80.26%,-,3200cc
12037,86.42%, 6.79%, 93.21%,-,1100ed
12039,77.06%, 11.47%, 88.53%,-,1d00e1
12041,83.99%, 8.01%, 91.99%,-,1400ea
12043,44.10%, 27.95%, 72.05%,-,4700b7
12045,87.98%, 6.01%, 93.99%,-,0f00ef
12047,77.00%, 11.50%, 88.50%,-,1d00e1
12049,57.33%, 21.33%, 78.67%,-,3600c8
12051,53.28%, 23.36%, 76.64%,-,3b00c3
12053,50.26%, 24.87%, 75.13%,-,3f00bf
12055,43.23%, 28.39%, 71.61%,-,4800b6
12057,59.50%, 20.25%, 79.75%,-,3300cb
12059,50.32%, 24.84%, 75.16%,-,3f00bf
12061,24.38%, 37.81%, 62.19%,-,60009e
12063,73.24%, 13.38%, 86.62%,-,2200dc
12065,73.57%, 13.21%, 86.79%,-,2100dd
12067,79.87%, 10.07%, 89.93%,-,1900e5
12069,33.37%, 33.32%, 66.68%,-,5400aa
12071,37.05%, 31.48%, 68.52%,-,5000ae
12073,80.70%, 9.65%, 90.35%,-,1800e6
12075,80.95%, 9.52%, 90.48%,-,1800e6
12077,77.67%, 11.16%, 88.84%,-,1c00e2
12079,69.24%, 15.38%, 84.62%,-,2700d7
12081,44.25%, 27.87%, 72.13%,-,4700b7
12083,65.06%, 17.47%, 82.53%,-,2c00d2
12085,26.15%, 36.93%, 63.07%,-,5e00a0
12086,34.61%, 32.70%, 67.30%,-,5300ab
12087,79.72%, 10.14%, 89.86%,-,1900e5
12089,63.53%, 18.23%, 81.77%,-,2e00d0
12091,62.63%, 18.68%, 81.32%,-,2f00cf
12093,74.15%, 12.92%, 87.08%,-,2000de
12095,21.99%, 39.00%, 61.00%,-,63009b
12097,17.05%, 41.48%, 58.52%,-,690095
12099,23.44%, 38.28%, 61.72%,-,61009d
12101,38.83%, 30.59%, 69.41%,-,4e00b0
12103,17.40%, 41.30%, 58.70%,-,690095
12105,52.15%, 23.93%, 76.07%,-,3d00c1
12107,55.05%, 22.47%, 77.53%,-,3900c5
12109,51.96%, 24.02%, 75.98%,-,3d00c1
12111,38.55%, 30.73%, 69.27%,-,4e00b0
12113,63.21%, 18.40%, 81.60%,-,2e00d0
12115,38.59%, 30.71%, 69.29%,-,4e00b0
12117,39.41%, 30.29%, 69.71%,-,4d00b1
12119,80.80%, 9.60%, 90.40%,-,1800e6
12121,75.45%, 12.27%, 87.73%,-,1f00df
12123,85.32%, 7.34%, 92.66%,-,1200ec
12125,83.02%, 8.49%, 91.51%,-,1500e9
12127,21.26%, 39.37%, 60.63%,-,64009a
12129,90.04%, 4.98%, 95.02%,-,0c00f2
12131,64.51%, 17.74%, 82.26%,-,2d00d1
12133,49.73%, 25.14%, 74.86%,-,4000be
13001,65.26%, 16.94%, 82.19%, 0.87%,2b02d1
13003,82.73%, 8.57%, 91.30%, 0.13%,1500e8
13005,78.44%, 10.51%, 88.95%, 0.54%,1a01e2
13007,89.63%, 5.10%, 94.73%, 0.17%,0d00f1
13009,73.03%, 13.36%, 86.38%, 0.26%,2200dc
13011,60.14%, 19.57%, 79.71%, 0.72%,3101cb
13013,75.91%, 11.91%, 87.82%, 0.27%,1e00df
13015,68.74%, 15.44%, 84.17%, 0.39%,2700d6
13017,73.64%, 13.00%, 86.64%, 0.36%,2100dc
13019,96.02%,-, 97.97%, 2.03%,0005f9
13021,65.85%, 16.85%, 82.70%, 0.45%,2a01d2
13023,77.14%, 11.26%, 88.40%, 0.34%,1c00e1
13025,86.70%, 6.50%, 93.20%, 0.29%,1000ed
13027,67.91%, 16.01%, 83.93%, 0.06%,2800d6
13029,89.19%, 5.30%, 94.49%, 0.22%,0d00f0
13031,86.97%, 6.38%, 93.35%, 0.27%,1000ee
13033,91.64%, 3.90%, 95.54%, 0.56%,0901f3
13035,84.01%, 7.90%, 91.92%, 0.18%,1400ea
13037,89.74%, 5.13%, 94.87%,-,0d00f1
13039,80.64%, 9.60%, 90.24%, 0.16%,1800e6
13043,84.26%, 7.75%, 92.00%, 0.25%,1300ea
13045,72.02%, 13.90%, 85.92%, 0.18%,2300db
13047,70.52%, 14.74%, 85.26%,-,2500d9
13049,80.71%, 9.65%, 90.35%,-,1800e6
13051,66.90%, 16.47%, 83.37%, 0.16%,2900d4
13053,82.14%, 8.93%, 91.07%,-,1600e8
13055,79.35%, 10.12%, 89.47%, 0.41%,1901e4
13057,20.72%, 39.39%, 60.11%, 0.50%,640199
13059,84.06%, 7.81%, 91.87%, 0.32%,1300ea
13061,87.00%, 6.31%, 93.31%, 0.38%,1000ed
13063,79.03%, 10.42%, 89.45%, 0.13%,1a00e4
13065,88.67%, 5.67%, 94.33%,-,0e00f0
13067,63.42%, 18.21%, 81.63%, 0.17%,2e00d0
13069,84.59%, 7.56%, 92.15%, 0.30%,1300ea
13071,54.81%, 22.24%, 77.04%, 0.72%,3801c4
13073,85.82%, 6.79%, 92.61%, 0.59%,1101ec
13075,73.62%, 13.19%, 86.81%,-,2100dd
13077,92.76%, 3.48%, 96.25%, 0.27%,0800f5
13079,65.90%, 16.93%, 82.84%, 0.23%,2b00d3
13081,77.83%, 10.91%, 88.75%, 0.34%,1b00e2
13083,73.35%, 13.33%, 86.67%,-,2100dd
13085,27.26%, 36.17%, 63.43%, 0.39%,5c00a1
13087,78.20%, 10.85%, 89.05%, 0.10%,1b00e3
13089,61.71%, 18.94%, 80.65%, 0.41%,3001cd
13091,76.17%, 11.74%, 87.91%, 0.34%,1d00e0
13093,81.15%, 9.27%, 90.43%, 0.30%,1700e6
13095,84.68%, 7.64%, 92.32%, 0.04%,1300eb
13097,61.76%, 18.88%, 80.64%, 0.48%,3001cd
13099,88.69%, 5.60%, 94.29%, 0.11%,0e00f0
13101,91.96%, 3.91%, 95.87%, 0.22%,0900f4
13103,47.21%, 26.40%, 73.60%,-,4300bb
13105,69.78%, 14.70%, 84.48%, 0.82%,2502d7
13107,89.15%, 5.36%, 94.51%, 0.13%,0d00f1
13109,84.67%, 7.37%, 92.04%, 0.59%,1201ea
13111,12.04%, 56.02%, 43.98%,-,8e0070
13113,85.83%, 7.09%, 92.91%,-,1200ec
13115,71.44%, 14.12%, 85.56%, 0.33%,2400da
13117,36.98%, 31.51%, 68.49%,-,5000ae
13119,74.48%, 12.18%, 86.66%, 1.15%,1f02dc
13121,67.47%, 16.10%, 83.57%, 0.33%,2900d5
13123,13.94%, 42.93%, 56.87%, 0.20%,6d0091
13125,62.44%, 18.54%, 80.98%, 0.49%,2f01ce
13127,75.82%, 11.94%, 87.76%, 0.31%,1e00df
13129,50.76%, 24.41%, 75.17%, 0.42%,3e01bf
13131,72.89%, 13.20%, 86.09%, 0.71%,2101db
13133,81.36%, 8.93%, 90.29%, 0.78%,1601e6
13135,69.06%, 15.26%, 84.32%, 0.42%,2601d7
13137,62.51%, 18.55%, 81.06%, 0.40%,2f01ce
13139,69.79%, 14.73%, 84.52%, 0.75%,2501d7
13141,53.13%, 23.36%, 76.49%, 0.15%,3b00c3
13143,50.59%, 24.60%, 75.19%, 0.22%,3e00bf
13145,84.89%, 7.15%, 92.04%, 0.81%,1202ea
13147,85.43%, 6.73%, 92.16%, 1.11%,1102eb
13149,48.97%, 25.40%, 74.37%, 0.23%,4000bd
13151,87.67%, 6.11%, 93.77%, 0.12%,0f00ef
13153,61.27%, 19.30%, 80.57%, 0.13%,3100cd
13155,65.83%, 16.95%, 82.79%, 0.26%,2b00d3
13157,80.91%, 9.37%, 90.29%, 0.34%,1700e6
13159,80.87%, 9.44%, 90.30%, 0.26%,1800e6
13161,74.47%, 12.64%, 87.11%, 0.25%,2000de
13163,71.99%, 13.72%, 85.71%, 0.56%,2201da
13165,86.15%, 6.82%, 92.98%, 0.20%,1100ed
13167,76.92%, 11.32%, 88.24%, 0.44%,1c01e1
13169,71.61%, 14.13%, 85.73%, 0.14%,2400da
13171,81.75%, 8.86%, 90.62%, 0.52%,1601e7
13173,94.56%, 2.56%, 97.12%, 0.32%,0600f7
13175,68.28%, 15.79%, 84.07%, 0.15%,2800d6
13177,91.72%, 3.91%, 95.63%, 0.46%,0901f3
13179,59.80%, 20.00%, 79.80%, 0.20%,3300cb
13181,74.16%, 12.45%, 86.62%, 0.93%,1f02dc
13183,61.21%, 19.14%, 80.35%, 0.50%,3001cc
13185,81.18%, 9.21%, 90.40%, 0.39%,1700e6
