id,margin,dewey,truman,other
13121,28.09%,29.33%,57.43%,13.24%
13123,2.83%,47.36%,50.20%,2.44%
13125,48.02%,2.58%,24.40%,73.02%
13127,29.56%,23.80%,53.36%,22.84%
13129,55.50%,18.26%,73.75%,7.99%
13131,50.46%,11.19%,69.54%,19.27%
13133,58.55%,5.79%,76.29%,17.92%
13135,63.35%,11.08%,75.99%,12.93%
13137,53.55%,17.77%,71.32%,10.91%
13139,59.80%,14.57%,74.37%,11.06%
13141,28.76%,14.38%,57.12%,28.50%
13143,40.19%,23.32%,63.51%,13.17%
13145,45.82%,12.14%,66.75%,21.11%
13147,83.40%,5.10%,89.08%,5.82%
13149,74.13%,9.63%,83.75%,6.62%
13151,63.43%,12.41%,75.84%,11.75%
13153,48.89%,9.85%,69.35%,20.80%
13155,50.92%,10.77%,69.82%,19.41%
13157,74.48%,6.53%,83.98%,9.49%
13159,40.12%,10.06%,64.97%,24.97%
13161,44.20%,7.73%,67.51%,24.76%
13163,28.38%,7.98%,31.70%,60.32%
13165,33.02%,10.11%,61.40%,28.49%
13167,14.49%,5.33%,54.54%,40.13%
13169,14.81%,9.25%,52.78%,37.97%
13171,56.58%,12.92%,71.63%,15.45%
13173,56.76%,13.53%,71.47%,15.00%
13175,29.28%,7.05%,61.12%,31.83%
13177,0.21%,7.69%,45.94%,46.37%
13179,45.46%,9.98%,67.66%,22.36%
13181,68.18%,4.39%,13.58%,82.03%
13183,36.26%,4.87%,65.69%,29.44%
13185,10.59%,16.02%,47.17%,36.81%
13187,54.80%,19.22%,74.02%,6.76%
13189,71.87%,3.40%,12.13%,84.47%
13191,22.07%,26.78%,48.85%,24.37%
13193,25.04%,10.74%,57.11%,32.15%
13195,65.74%,4.31%,80.61%,15.08%
13197,13.12%,8.32%,52.31%,39.37%
13199,71.81%,8.47%,81.65%,9.88%
13201,73.05%,3.72%,83.97%,12.31%
13205,48.19%,7.35%,70.30%,22.35%
13207,36.13%,11.90%,62.04%,26.06%
13209,31.19%,6.91%,61.90%,31.19%
13211,71.76%,8.18%,81.58%,10.24%
13213,42.78%,25.41%,68.19%,6.40%
13215,34.08%,23.94%,58.02%,18.04%
13217,74.80%,9.72%,84.52%,5.76%
13219,34.76%,10.05%,61.93%,28.02%
13221,52.06%,5.55%,73.26%,21.19%
13223,44.51%,22.87%,67.38%,9.75%
13225,22.63%,13.91%,53.81%,32.28%
13227,0.59%,46.11%,45.52%,8.37%
13229,27.48%,7.13%,59.97%,32.90%
13231,24.15%,15.25%,54.24%,30.51%
13233,65.49%,13.25%,78.74%,8.01%
13235,51.13%,8.06%,71.41%,20.53%
13237,55.85%,12.88%,71.31%,15.81%
13239,42.38%,5.26%,68.14%,26.60%
13241,60.06%,17.03%,77.09%,5.88%
13243,32.58%,13.81%,59.28%,26.91%
13245,49.54%,11.89%,19.07%,69.04%
13247,72.18%,8.51%,81.63%,9.86%
13249,48.80%,11.47%,68.53%,20.00%
13251,22.21%,11.37%,55.39%,33.24%
13253,68.63%,11.68%,80.31%,8.01%
13255,59.88%,10.94%,74.38%,14.68%
13257,47.92%,21.01%,68.93%,10.06%
13259,1.87%,7.82%,46.94%,45.24%
13261,7.46%,11.94%,47.48%,40.58%
13263,55.05%,11.33%,71.67%,17.00%
13265,71.95%,3.51%,84.14%,12.35%
13267,27.04%,11.59%,57.46%,30.95%
13269,25.25%,8.99%,57.95%,33.06%
13271,33.10%,6.65%,63.18%,30.17%
13273,38.49%,10.52%,63.93%,25.55%
13275,3.65%,25.22%,38.97%,35.81%
13277,50.15%,13.72%,68.00%,18.28%
13279,25.05%,9.57%,57.59%,32.84%
13281,25.97%,36.65%,62.62%,0.73%
13283,29.27%,3.86%,61.37%,34.77%
13285,61.23%,10.37%,75.37%,14.26%
13287,48.29%,12.86%,67.72%,19.42%
13289,5.15%,6.38%,44.05%,49.57%
13291,5.26%,45.86%,51.12%,3.02%
13293,71.47%,8.75%,81.26%,9.99%
13295,49.81%,20.02%,69.83%,10.15%
13297,75.86%,5.71%,84.99%,9.30%
13299,26.60%,14.09%,56.15%,29.76%
13301,33.05%,4.05%,31.45%,64.50%
13303,69.98%,14.79%,84.77%,0.44%
13305,57.02%,10.84%,72.89%,16.27%
13307,0.32%,25.16%,37.58%,37.26%
13309,30.96%,4.41%,63.28%,32.31%
13311,67.46%,9.37%,78.89%,11.74%
13313,40.25%,23.17%,63.42%,13.41%
13315,48.79%,6.73%,70.94%,22.33%
13317,35.15%,7.84%,63.61%,28.55%
13319,0.09%,8.74%,45.59%,45.67%
13321,62.70%,8.24%,77.06%,14.70%
15001,0%,0,0,0.00%
15003,0%,0,0,0.00%
15005,0%,0,0,0.00%
15007,0%,0,0,0.00%
15009,0%,0,0,0.00%
16001,13.93%,56.06%,42.14%,1.80%
16003,3.45%,47.33%,50.78%,1.89%
16005,26.34%,35.86%,62.20%,1.94%
16007,2.26%,48.48%,50.73%,0.79%
16009,20.21%,38.01%,58.22%,3.77%
16011,0.54%,49.04%,49.58%,1.38%
16013,10.96%,43.71%,54.67%,1.62%
16015,4.47%,46.49%,50.96%,2.55%
16017,4.26%,45.44%,49.70%,4.86%
16019,8.83%,44.99%,53.81%,1.20%
16021,5.67%,43.35%,49.02%,7.63%
16023,1.65%,48.70%,50.35%,0.95%
16025,1.91%,50.26%,48.35%,1.39%
16027,9.79%,52.82%,43.04%,4.14%
16029,3.01%,48.06%,51.08%,0.86%
16031,5.27%,51.89%,46.63%,1.48%
16033,22.45%,60.65%,38.19%,1.16%
16035,29.46%,32.17%,61.63%,6.20%
16037,1.03%,48.69%,49.72%,1.59%
16039,29.36%,34.12%,63.48%,2.40%
16041,6.95%,53.19%,46.24%,0.57%
16043,6.22%,46.63%,52.85%,0.52%
16045,4.06%,46.26%,50.32%,3.42%
16047,6.65%,52.58%,45.93%,1.49%
16049,12.09%,42.44%,54.53%,3.03%
16051,14.77%,41.76%,56.53%,1.71%
16053,0.09%,49.43%,49.34%,1.23%
16055,9.93%,41.56%,51.49%,6.95%
16057,0.06%,48.23%,48.30%,3.47%
16059,8.93%,53.51%,44.58%,1.91%
16061,41.80%,27.62%,69.43%,2.95%
16063,6.37%,52.63%,46.26%,1.11%
16065,11.57%,43.93%,55.50%,0.57%
16067,0.41%,48.19%,48.60%,3.21%
16069,27.67%,33.98%,61.65%,4.37%
16071,2.32%,48.54%,50.86%,0.60%
16073,2.27%,50.03%,47.75%,2.22%
16075,21.12%,59.54%,38.42%,2.04%
16077,4.76%,52.05%,47.29%,0.66%
16079,15.40%,38.74%,54.13%,7.13%
16081,6.21%,46.62%,52.83%,0.55%
16083,12.90%,55.71%,42.81%,1.48%
16085,6.03%,51.00%,44.98%,4.02%
16087,0.37%,49.21%,48.84%,1.95%
17001,2.14%,48.67%,50.81%,0.52%
17003,0.86%,49.05%,49.91%,1.04%
17005,9.27%,53.03%,43.76%,3.21%
17007,43.23%,71.43%,28.20%,0.37%
17009,7.17%,46.09%,53.26%,0.65%
17011,26.73%,63.15%,36.42%,0.43%
17013,5.10%,52.21%,47.11%,0.68%
17015,30.64%,64.94%,34.30%,0.76%
17017,5.33%,46.99%,52.32%,0.69%
17019,24.10%,60.88%,36.78%,2.34%
17021,10.49%,44.40%,54.89%,0.71%
17023,9.19%,53.92%,44.73%,1.35%
17025,8.75%,53.21%,44.46%,2.33%
17027,3.56%,51.47%,47.91%,0.62%
17029,1.43%,50.56%,49.13%,0.31%
17031,8.94%,45.23%,54.17%,0.60%
17033,10.26%,54.58%,44.32%,1.10%
17035,2.03%,50.72%,48.70%,0.58%
17037,38.02%,68.69%,30.68%,0.63%
17039,11.82%,55.61%,43.79%,0.60%
17041,18.07%,58.65%,40.58%,0.77%
17043,48.63%,73.58%,24.95%,1.47%
17045,10.12%,54.77%,44.65%,0.58%
17047,34.08%,66.07%,31.99%,1.94%
17049,1.19%,48.92%,50.11%,0.97%
17051,0.47%,49.25%,49.72%,1.03%
17053,40.26%,69.89%,29.64%,0.47%
17055,10.93%,43.87%,54.79%,1.34%
17057,7.13%,53.00%,45.87%,1.13%
17059,14.19%,42.60%,56.79%,0.61%
17061,5.12%,47.09%,52.22%,0.69%
17063,29.21%,64.44%,35.23%,0.33%
17065,2.42%,50.93%,48.51%,0.56%
