id,margin,bush,dukakis,paul,other
29067,29.96%, 64.85%, 34.89%,-, 0.26%
29069,2.47%, 48.70%, 51.17%,-, 0.13%
29071,16.50%, 58.06%, 41.56%,-, 0.38%
29073,44.32%, 72.01%, 27.69%,-, 0.31%
29075,9.26%, 45.27%, 54.53%,-, 0.20%
29077,19.03%, 59.36%, 40.33%,-, 0.30%
29079,13.02%, 56.38%, 43.36%,-, 0.25%
29081,12.18%, 55.89%, 43.71%,-, 0.39%
29083,0.38%, 50.04%, 49.65%,-, 0.31%
29085,9.82%, 54.82%, 45.00%,-, 0.19%
29087,11.40%, 55.54%, 44.14%,-, 0.32%
29089,13.44%, 43.15%, 56.59%,-, 0.25%
29091,25.36%, 62.49%, 37.13%,-, 0.38%
29093,9.74%, 45.01%, 54.75%,-, 0.24%
29095,15.65%, 42.02%, 57.67%,-, 0.31%
29097,28.14%, 63.92%, 35.78%,-, 0.30%
29099,2.69%, 51.16%, 48.47%,-, 0.38%
29101,16.55%, 58.14%, 41.58%,-, 0.28%
29103,1.74%, 49.03%, 50.77%,-, 0.20%
29105,27.56%, 63.65%, 36.09%,-, 0.25%
29107,9.36%, 54.54%, 45.18%,-, 0.28%
29109,21.79%, 60.73%, 38.95%,-, 0.32%
29111,15.38%, 42.20%, 57.57%,-, 0.23%
29113,7.04%, 53.38%, 46.34%,-, 0.28%
29115,1.43%, 49.15%, 50.58%,-, 0.27%
29117,5.88%, 52.88%, 47.00%,-, 0.12%
29119,24.59%, 61.95%, 37.36%,-, 0.68%
29121,2.88%, 51.30%, 48.43%,-, 0.27%
29123,7.68%, 53.75%, 46.08%,-, 0.17%
29125,10.55%, 55.14%, 44.60%,-, 0.26%
29127,5.46%, 47.16%, 52.62%,-, 0.22%
29129,0.11%, 49.89%, 50.00%,-, 0.11%
29131,37.77%, 68.82%, 31.06%,-, 0.12%
29133,11.82%, 43.99%, 55.81%,-, 0.20%
29135,28.76%, 64.30%, 35.55%,-, 0.15%
29137,22.89%, 38.42%, 61.31%,-, 0.27%
29139,13.57%, 56.66%, 43.09%,-, 0.25%
29141,20.57%, 60.13%, 39.56%,-, 0.30%
29143,5.90%, 46.99%, 52.89%,-, 0.12%
29145,29.21%, 64.36%, 35.15%,-, 0.50%
29147,1.63%, 48.92%, 50.55%,-, 0.52%
29149,8.63%, 45.59%, 54.22%,-, 0.19%
29151,37.32%, 68.58%, 31.26%,-, 0.16%
29153,28.71%, 64.21%, 35.50%,-, 0.29%
29155,3.49%, 48.18%, 51.67%,-, 0.16%
29157,28.40%, 64.08%, 35.68%,-, 0.23%
29159,27.38%, 63.47%, 36.09%,-, 0.43%
29161,17.27%, 58.44%, 41.16%,-, 0.40%
29163,7.68%, 46.07%, 53.75%,-, 0.18%
29165,2.65%, 51.18%, 48.53%,-, 0.29%
29167,19.02%, 59.39%, 40.37%,-, 0.25%
29169,14.74%, 57.22%, 42.48%,-, 0.30%
29171,25.83%, 62.73%, 36.90%,-, 0.37%
29173,24.94%, 37.44%, 62.38%,-, 0.18%
29175,9.36%, 45.22%, 54.57%,-, 0.21%
29177,12.88%, 43.44%, 56.33%,-, 0.23%
29179,23.13%, 38.29%, 61.42%,-, 0.30%
29181,14.85%, 57.29%, 42.45%,-, 0.26%
29183,26.06%, 62.90%, 36.84%,-, 0.26%
29185,10.71%, 55.27%, 44.56%,-, 0.17%
29186,17.52%, 41.08%, 58.60%,-, 0.32%
29187,1.46%, 49.13%, 50.59%,-, 0.29%
29189,9.62%, 54.67%, 45.05%,-, 0.28%
29195,4.27%, 47.70%, 51.97%,-, 0.33%
29197,2.40%, 51.11%, 48.70%,-, 0.19%
29199,5.52%, 52.61%, 47.09%,-, 0.30%
29201,15.05%, 57.45%, 42.40%,-, 0.15%
29203,2.86%, 48.46%, 51.31%,-, 0.23%
29205,6.81%, 46.54%, 53.35%,-, 0.12%
29207,10.64%, 55.25%, 44.61%,-, 0.14%
29209,27.38%, 63.49%, 36.11%,-, 0.40%
29211,9.67%, 54.75%, 45.08%,-, 0.17%
29213,28.74%, 64.16%, 35.42%,-, 0.42%
29215,8.20%, 53.91%, 45.71%,-, 0.38%
29217,9.87%, 54.79%, 44.93%,-, 0.28%
29219,20.47%, 60.07%, 39.60%,-, 0.32%
29221,7.20%, 46.29%, 53.49%,-, 0.23%
29223,3.76%, 51.80%, 48.04%,-, 0.16%
29225,13.65%, 56.70%, 43.05%,-, 0.24%
29227,3.90%, 47.98%, 51.88%,-, 0.14%
29229,30.01%, 64.92%, 34.91%,-, 0.17%
29510,45.59%, 26.96%, 72.55%,-, 0.48%
30001,34.87%, 66.73%, 31.87%,-, 1.40%
30003,13.10%, 42.95%, 56.05%,-, 1.00%
30005,1.99%, 48.15%, 50.14%,-, 1.72%
30007,27.45%, 62.63%, 35.18%,-, 2.20%
30009,7.18%, 52.80%, 45.62%,-, 1.59%
30011,47.13%, 72.82%, 25.69%,-, 1.49%
30013,0.71%, 49.64%, 48.93%,-, 1.43%
30015,25.29%, 61.51%, 36.22%,-, 2.27%
30017,12.16%, 55.05%, 42.90%,-, 2.05%
30019,16.56%, 57.49%, 40.93%,-, 1.58%
30021,11.01%, 54.40%, 43.39%,-, 2.21%
30023,45.78%, 26.51%, 72.29%,-, 1.20%
