id,margin,ford,carter,other
12125,45.88%, 26.67%, 72.55%, 0.78%
12127,13.19%, 42.53%, 55.72%, 1.75%
12129,18.98%, 38.80%, 57.78%, 1.35%
12131,27.41%, 35.35%, 62.76%, 1.88%
12133,20.90%, 38.58%, 59.47%, 1.95%
13001,57.72%, 21.14%, 78.86%,-
13003,63.61%, 18.20%, 81.80%,-
13005,60.25%, 19.87%, 80.13%,-
13007,58.42%, 20.79%, 79.21%,-
13009,12.82%, 43.59%, 56.41%,-
13011,75.71%, 12.15%, 87.85%,-
13013,55.42%, 22.29%, 77.71%,-
13015,62.64%, 18.68%, 81.32%,-
13017,50.11%, 24.95%, 75.05%,-
13019,71.89%, 14.05%, 85.95%,-
13021,42.67%, 28.66%, 71.34%,-
13023,45.65%, 27.17%, 72.83%,-
13025,73.00%, 13.50%, 86.50%,-
13027,41.30%, 29.35%, 70.65%,-
13029,45.76%, 27.12%, 72.88%,-
13031,24.45%, 37.77%, 62.23%,-
13033,31.64%, 34.18%, 65.82%,-
13035,55.93%, 22.03%, 77.97%,-
13037,52.35%, 23.83%, 76.17%,-
13039,49.71%, 25.15%, 74.85%,-
13043,36.48%, 31.76%, 68.24%,-
13045,46.82%, 26.59%, 73.41%,-
13047,22.62%, 38.69%, 61.31%,-
13049,58.95%, 20.53%, 79.47%,-
13051,14.07%, 42.96%, 57.04%,-
13053,47.95%, 26.02%, 73.98%,-
13055,62.34%, 18.83%, 81.17%,-
13057,42.96%, 28.52%, 71.48%,-
13059,26.36%, 36.82%, 63.18%,-
13061,52.50%, 23.75%, 76.25%,-
13063,24.83%, 37.58%, 62.42%,-
13065,57.37%, 21.31%, 78.69%,-
13067,13.46%, 43.27%, 56.73%,-
13069,52.91%, 23.55%, 76.45%,-
13071,52.11%, 23.94%, 76.06%,-
13073,15.45%, 42.27%, 57.73%,-
13075,62.27%, 18.86%, 81.14%,-
13077,34.11%, 32.95%, 67.05%,-
13079,65.95%, 17.03%, 82.97%,-
13081,47.67%, 26.17%, 73.83%,-
13083,23.97%, 38.02%, 61.98%,-
13085,57.81%, 21.09%, 78.91%,-
13087,19.82%, 40.09%, 59.91%,-
13089,12.80%, 43.60%, 56.40%,-
13091,72.26%, 13.87%, 86.13%,-
13093,57.69%, 21.16%, 78.84%,-
