id,margin,bush,dukakis,trash,other,hex_color
08015,9.31%, 53.90%, 44.59%,-,1.509999999999991%,890371
08017,30.44%, 64.08%, 33.64%,-,2.280000000000001%,a30555
08019,3.36%, 50.11%, 46.75%, 2.67%,3.1400000000000006%,7f0877
08021,15.40%, 41.92%, 57.33%,-,0.75%,6a0192
08023,42.13%, 28.72%, 70.84%,-,0.4399999999999977%,4901b4
08025,15.47%, 57.47%, 42.00%,-,0.5300000000000011%,92016b
08027,40.87%, 69.46%, 28.60%,-,1.9399999999999977%,b10448
08029,21.08%, 59.59%, 38.51%,-,1.9000000000000057%,970462
08031,23.60%, 37.13%, 60.72%,-,2.1500000000000057%,5e059a
08033,35.25%, 66.67%, 31.42%,-,1.9099999999999966%,aa0450
08035,41.49%, 69.96%, 28.46%,-,1.5800000000000125%,b20448
08037,13.47%, 55.91%, 42.44%,-,1.6500000000000057%,8e046c
08039,27.86%, 63.06%, 35.21%,-,1.7299999999999898%,a00459
08041,41.14%, 70.03%, 28.88%,-,1.0900000000000034%,b20249
08043,17.92%, 58.24%, 40.33%,-,1.4300000000000068%,940366
08045,15.64%, 57.21%, 41.57%,-,1.2199999999999989%,91036a
08047,4.78%, 45.79%, 50.57%, 2.96%,3.6400000000000006%,740980
08049,22.28%, 60.08%, 37.81%,-,2.1099999999999994%,990560
08051,13.77%, 55.72%, 41.94%,-,2.3400000000000034%,8e056a
08053,45.21%, 72.48%, 27.27%,-,0.25%,b80045
08055,26.83%, 36.32%, 63.14%,-,0.539999999999992%,5c01a1
08057,32.55%, 65.54%, 33.00%,-,1.4599999999999937%,a70354
08059,14.76%, 56.39%, 41.64%,-,1.9699999999999989%,8f056a
08061,23.46%, 61.25%, 37.80%,-,0.9500000000000028%,9c0260
08063,30.35%, 64.41%, 34.05%,-,1.5400000000000063%,a40356
08065,21.51%, 38.10%, 59.61%,-,2.289999999999992%,610598
08067,17.00%, 57.73%, 40.73%,-,1.5400000000000063%,930367
08069,12.36%, 55.34%, 42.98%,-,1.6800000000000068%,8d046d
08071,30.22%, 34.15%, 64.37%,-,1.4799999999999898%,5703a4
08073,21.43%, 60.29%, 38.86%,-,0.8499999999999943%,990263
08075,13.83%, 56.24%, 42.41%,-,1.3499999999999943%,8f036c
08077,20.93%, 59.62%, 38.68%,-,1.7000000000000028%,980462
08079,10.91%, 55.08%, 44.16%,-,0.7600000000000051%,8c0170
08081,24.85%, 61.01%, 36.16%,-,2.8300000000000125%,9b075c
08083,30.15%, 64.23%, 34.09%,-,1.6799999999999926%,a30456
08085,22.66%, 60.16%, 37.51%,-,2.3300000000000125%,99055f
08087,12.29%, 55.24%, 42.95%,-,1.8100000000000023%,8c046d
08089,4.28%, 51.39%, 47.11%,-,1.5%,830378
08091,29.43%, 63.89%, 34.46%,-,1.6500000000000057%,a20457
08093,16.86%, 56.87%, 40.01%, 2.50%,3.1200000000000045%,910766
08095,17.30%, 57.81%, 40.52%,-,1.6699999999999875%,930467
08097,9.79%, 44.28%, 54.06%,-,1.6599999999999966%,700489
08099,14.59%, 56.34%, 41.75%,-,1.9099999999999966%,8f046a
08101,23.76%, 37.73%, 61.50%,-,0.7700000000000102%,60019c
08103,38.24%, 68.41%, 30.17%,-,1.4200000000000017%,ae034c
08105,25.53%, 62.01%, 36.48%,-,1.5100000000000051%,9e035d
08107,5.41%, 51.65%, 46.24%,-,2.1099999999999994%,830575
08109,4.37%, 46.94%, 51.32%,-,1.740000000000009%,770482
08111,4.32%, 50.36%, 46.04%, 2.40%,3.5999999999999943%,800975
08113,8.86%, 43.39%, 52.26%, 3.86%,4.349999999999994%,6e0b85
08115,20.06%, 59.61%, 39.55%,-,0.8400000000000034%,980264
08117,5.30%, 51.44%, 46.14%, 2.04%,2.4200000000000017%,830675
08119,38.25%, 68.36%, 30.11%,-,1.5300000000000011%,ae034c
08121,27.59%, 62.87%, 35.29%,-,1.8400000000000034%,a00459
08123,12.44%, 55.42%, 42.98%,-,1.5999999999999943%,8d046d
08125,15.36%, 56.93%, 41.57%,-,1.5%,91036a
09001,19.12%, 59.04%, 39.91%,-,1.0500000000000114%,960265
09003,7.12%, 45.95%, 53.08%,-,0.9699999999999989%,750287
09005,13.05%, 55.97%, 42.91%,-,1.1200000000000045%,8e026d
09007,1.06%, 50.01%, 48.95%,-,1.039999999999992%,7f027c
09009,3.24%, 50.90%, 47.66%,-,1.4399999999999977%,810379
09011,3.69%, 51.22%, 47.53%,-,1.25%,820379
09013,2.67%, 50.80%, 48.13%,-,1.0699999999999932%,81027a
09015,3.02%, 50.88%, 47.86%,-,1.259999999999991%,81037a
10001,20.92%, 60.17%, 39.25%,-,0.5799999999999983%,990164
10003,7.77%, 53.52%, 45.75%,-,0.7299999999999898%,880174
10005,24.27%, 61.97%, 37.70%,-,0.3299999999999983%,9e0060
11001,68.34%, 14.30%, 82.65%,-,3.049999999999997%,2407d2
12001,1.26%, 50.08%, 48.82%,-,1.0999999999999943%,7f027c
12003,43.15%, 71.49%, 28.34%,-,0.1700000000000017%,b60048
12005,46.05%, 72.51%, 26.46%,-,1.0300000000000011%,b80243
12007,27.65%, 63.61%, 35.96%,-,0.4300000000000068%,a2015b
12009,41.47%, 70.30%, 28.83%,-,0.8700000000000045%,b30249
12011,0.46%, 50.00%, 49.54%,-,0.46000000000000796%,7f017e
12013,28.88%, 64.01%, 35.12%,-,0.8700000000000045%,a30259
12015,28.61%, 63.98%, 35.37%,-,0.6500000000000057%,a3015a
12017,26.55%, 62.95%, 36.40%,-,0.6500000000000057%,a0015c
12019,53.70%, 76.67%, 22.97%,-,0.35999999999999943%,c3003a
12021,50.31%, 74.87%, 24.57%,-,0.5600000000000023%,be013e
12023,30.95%, 65.13%, 34.18%,-,0.6899999999999977%,a60157
12027,31.90%, 65.64%, 33.74%,-,0.6200000000000045%,a70156
12029,19.58%, 59.79%, 40.21%,-,0.0%,980066
12031,26.07%, 62.79%, 36.72%,-,0.4900000000000091%,a0015d
12033,36.65%, 68.05%, 31.40%,-,0.5500000000000114%,ad0150
12035,20.96%, 60.32%, 39.36%,-,0.3199999999999932%,990064
12037,19.27%, 58.52%, 39.25%,-,2.2299999999999898%,950564
12039,3.02%, 47.64%, 50.66%,-,1.7000000000000028%,790481
12041,23.84%, 61.59%, 37.75%,-,0.6599999999999966%,9d0160
12043,19.78%, 59.66%, 39.88%,-,0.46000000000000796%,980165
12045,27.79%, 62.44%, 34.65%, 2.38%,2.9099999999999966%,9f0758
12047,21.91%, 60.72%, 38.81%,-,0.46999999999999886%,9a0162
12049,35.91%, 66.96%, 31.05%,-,1.990000000000009%,aa054f
12051,31.96%, 65.70%, 33.74%,-,0.5600000000000023%,a70156
12053,15.62%, 57.50%, 41.88%,-,0.6200000000000045%,92016a
12055,34.61%, 67.05%, 32.44%,-,0.5100000000000051%,aa0152
12057,20.40%, 59.89%, 39.49%,-,0.6200000000000045%,980164
12059,43.83%, 71.61%, 27.78%,-,0.6099999999999994%,b60146
12061,40.13%, 69.71%, 29.58%,-,0.710000000000008%,b1014b
12063,25.14%, 62.20%, 37.06%,-,0.7399999999999949%,9e015e
12065,6.16%, 52.89%, 46.73%,-,0.37999999999999545%,860077
12067,33.36%, 66.41%, 33.04%,-,0.5500000000000114%,a90154
12069,37.68%, 68.40%, 30.72%,-,0.8799999999999955%,ae024e
