id,margin,hoover,roosevelt,other,hex_color
08073,14.88%, 41.09%, 55.97%, 2.94%,68078e
08075,6.97%, 45.44%, 52.41%, 2.14%,730585
08077,19.43%, 37.16%, 56.59%, 1.09%,5e0290
08079,25.86%, 29.55%, 55.41%, 0.53%,4b018d
08081,21.11%, 36.56%, 57.67%, 0.91%,5d0293
08083,32.02%, 31.84%, 63.85%, 1.08%,5102a2
08085,10.79%, 41.00%, 51.79%, 1.05%,680284
08087,2.79%, 49.82%, 47.02%, 0.81%,7f0277
08089,12.20%, 42.79%, 54.99%, 2.22%,6d058c
08091,26.74%, 34.55%, 61.28%, 1.04%,58029c
08093,27.67%, 33.26%, 60.92%, 0.98%,54029b
08095,21.22%, 34.84%, 56.06%, 0.85%,58028e
08097,48.22%, 23.62%, 71.84%, 0.59%,3c01b7
08099,7.89%, 44.85%, 52.74%, 2.41%,720686
08101,18.63%, 39.52%, 58.15%, 2.33%,640594
08103,9.00%, 44.47%, 53.46%, 2.07%,710588
08105,23.06%, 36.57%, 59.63%, 1.13%,5d0298
08107,24.38%, 35.56%, 59.95%, 0.86%,5a0298
08109,20.18%, 37.88%, 58.06%, 1.51%,600394
08111,53.86%, 22.44%, 76.30%, 1.26%,3903c2
08113,37.19%, 29.74%, 66.93%, 1.09%,4b02aa
08115,17.87%, 39.10%, 56.97%, 1.28%,630391
08117,26.86%, 34.78%, 61.65%, 0.93%,58029d
08119,31.42%, 30.21%, 61.63%, 0.32%,4d009d
08121,25.38%, 35.39%, 60.77%, 1.58%,5a049a
08123,1.87%, 46.87%, 48.73%, 0.90%,77027c
08125,19.14%, 37.34%, 56.48%, 1.61%,5f0490
09001,5.44%, 49.92%, 44.48%, 0.71%,7f0171
09003,0.19%, 48.36%, 48.17%, 0.64%,7b017a
09005,15.89%, 56.94%, 41.05%, 2.01%,910568
09007,7.27%, 52.79%, 45.52%, 1.69%,860474
09009,4.48%, 45.38%, 49.86%, 0.73%,73017f
09011,0.36%, 49.11%, 48.75%, 2.14%,7d057c
09013,7.72%, 51.85%, 44.13%, 0.47%,840170
09015,6.23%, 46.38%, 52.61%, 1.00%,760286
10001,14.41%, 42.59%, 57.00%, 0.41%,6c0191
10003,9.41%, 53.76%, 44.36%, 1.88%,890471
