id,margin,bush,clinton,perot,hex_color
13089,25.19%, 32.62%, 57.82%, 9.16%,531793
13091,11.39%, 36.43%, 47.82%, 15.58%,5c2779
13093,28.31%, 30.53%, 58.84%, 10.33%,4d1a96
13095,8.99%, 40.27%, 49.26%, 10.27%,661a7d
13097,16.81%, 50.08%, 33.27%, 16.36%,7f2954
13099,12.38%, 35.17%, 47.55%, 15.74%,592879
13101,5.38%, 39.63%, 34.25%, 26.13%,654257
13103,14.12%, 47.90%, 33.78%, 18.12%,7a2e56
13105,10.59%, 38.46%, 49.05%, 12.28%,621f7d
13107,4.50%, 41.43%, 45.93%, 11.75%,691d75
13109,0.47%, 42.03%, 41.55%, 16.22%,6b2969
13111,4.91%, 45.24%, 40.33%, 14.29%,732466
13113,28.86%, 55.47%, 26.60%, 17.67%,8d2d43
13115,2.74%, 44.43%, 41.69%, 13.56%,71226a
13117,21.75%, 50.64%, 28.89%, 20.21%,813349
13119,1.92%, 40.37%, 42.29%, 17.12%,662b6b
13121,24.09%, 33.20%, 57.29%, 9.16%,541792
13123,5.94%, 45.19%, 39.25%, 14.93%,732664
13125,19.74%, 50.94%, 31.19%, 17.77%,812d4f
13127,11.60%, 49.02%, 37.42%, 13.31%,7d215f
13129,10.36%, 46.95%, 36.59%, 16.21%,77295d
13131,2.49%, 39.28%, 41.77%, 18.66%,642f6a
13133,23.46%, 32.21%, 55.67%, 11.90%,521e8d
13135,24.95%, 54.34%, 29.39%, 15.89%,8a284a
13137,16.10%, 50.02%, 33.92%, 15.81%,7f2856
13139,15.09%, 49.67%, 34.58%, 15.55%,7e2758
13141,61.93%, 16.03%, 77.95%, 5.99%,280fc6
13143,1.82%, 41.23%, 43.05%, 15.31%,69276d
13145,9.15%, 47.64%, 38.49%, 13.71%,792262
13147,13.23%, 34.26%, 47.50%, 18.08%,572e79
13149,8.13%, 36.36%, 44.49%, 18.85%,5c3071
13151,19.84%, 52.03%, 32.19%, 15.52%,842752
13153,5.65%, 43.11%, 37.47%, 19.12%,6d305f
13155,13.94%, 34.50%, 48.44%, 16.49%,572a7b
13157,2.01%, 43.38%, 41.37%, 15.07%,6e2669
13159,10.98%, 38.14%, 49.12%, 12.34%,611f7d
13161,1.70%, 39.32%, 41.01%, 19.35%,643168
13163,19.08%, 34.68%, 53.77%, 11.44%,581d89
13165,17.30%, 34.05%, 51.36%, 14.44%,562482
13167,4.83%, 39.88%, 44.70%, 15.24%,652671
13169,7.80%, 38.05%, 45.86%, 15.92%,612874
