id,margin,bush,kerry,trash1,trash2,trash1,other,hex_color
09005,5.70%, 51.89%, 46.19%,-,-, 1.93%,1.9200000000000017%,840475
09007,14.34%, 41.97%, 56.31%,-,-, 1.71%,1.7199999999999989%,6b048f
09009,10.55%, 43.78%, 54.33%,-,-, 1.89%,1.8900000000000006%,6f048a
09011,13.63%, 42.19%, 55.81%,-,-, 2.00%,2.0%,6b058e
09013,11.02%, 43.56%, 54.57%,-,-, 1.87%,1.8700000000000045%,6f048b
09015,6.45%, 45.69%, 52.14%,-,-, 2.17%,2.1700000000000017%,740584
10001,13.76%, 56.40%, 42.64%,-,-, 0.96%,0.960000000000008%,8f026c
10003,21.99%, 38.54%, 60.52%,-,-, 0.94%,0.9399999999999977%,62029a
10005,21.74%, 60.45%, 38.71%,-,-, 0.84%,0.8400000000000034%,9a0262
11001,79.84%, 9.34%, 89.18%,-,-, 1.48%,1.4799999999999898%,1703e3
12001,13.24%, 42.90%, 56.14%,-,-, 0.95%,0.960000000000008%,6d028f
12003,55.83%, 77.73%, 21.90%,-,-, 0.37%,0.37000000000000455%,c60037
12005,43.10%, 71.18%, 28.08%,-,-, 0.74%,0.7399999999999949%,b50147
12007,39.73%, 69.62%, 29.88%,-,-, 0.50%,0.5%,b1014c
12009,16.11%, 57.66%, 41.55%,-,-, 0.79%,0.7900000000000063%,930269
12011,29.60%, 34.61%, 64.21%,-,-, 1.18%,1.1800000000000068%,5803a3
12013,27.94%, 63.42%, 35.49%,-,-, 1.09%,1.0900000000000034%,a1025a
12015,12.75%, 55.68%, 42.93%,-,-, 1.38%,1.3900000000000006%,8d036d
12017,14.72%, 56.86%, 42.15%,-,-, 0.99%,0.9900000000000091%,90026b
12019,52.90%, 76.17%, 23.28%,-,-, 0.55%,0.5499999999999972%,c2013b
