id,margin,reagan,mondale,hall,other,hex_color
08005,45.24%, 71.92%, 26.67%,-,1.41%,b70344
08007,44.98%, 71.98%, 27.00%,-,1.02%,b70244
08009,52.73%, 75.85%, 23.12%,-,1.04%,c1023a
08011,20.69%, 59.75%, 39.06%,-,1.18%,980363
08013,11.66%, 55.06%, 43.40%,-,1.54%,8c036e
08014,0%,-,-,-,0.0%,000000
08015,34.25%, 66.31%, 32.05%,-,1.64%,a90451
08017,48.03%, 73.23%, 25.21%,-,1.56%,ba0340
08019,32.26%, 65.34%, 33.08%,-,1.58%,a60454
08021,3.57%, 51.40%, 47.83%,-,0.77%,830179
08023,23.05%, 38.07%, 61.13%,-,0.8%,61029b
08025,31.17%, 65.03%, 33.86%,-,1.11%,a50256
08027,54.07%, 76.12%, 22.05%,-,1.83%,c20438
08029,39.87%, 69.28%, 29.41%,-,1.31%,b0034a
08031,2.32%, 47.83%, 50.15%,-,2.02%,79057f
08033,58.12%, 78.47%, 20.35%,-,1.18%,c80333
08035,59.83%, 79.33%, 19.50%,-,1.17%,ca0231
08037,37.21%, 67.84%, 30.63%,-,1.52%,ac034e
08039,52.09%, 75.27%, 23.17%,-,1.56%,bf033b
08041,51.11%, 75.04%, 23.93%,-,1.03%,bf023d
08043,35.53%, 67.31%, 31.78%,-,0.91%,ab0251
08045,39.23%, 69.14%, 29.91%,-,0.95%,b0024c
08047,16.68%, 57.03%, 40.36%,-,0.38%,910066
08049,46.90%, 72.72%, 25.81%,-,1.47%,b90341
08051,36.40%, 67.32%, 30.92%,-,1.76%,ab044e
08053,51.21%, 74.88%, 23.67%,-,1.45%,be033c
08055,0.65%, 49.04%, 49.69%,-,1.27%,7d037e
08057,57.53%, 78.22%, 20.69%,-,1.08%,c70234
08059,39.19%, 68.92%, 29.73%,-,1.35%,af034b
08061,51.77%, 75.22%, 23.45%,-,1.33%,bf033b
08063,55.36%, 77.06%, 21.71%,-,1.23%,c40337
08065,1.46%, 49.65%, 48.20%,-,2.15%,7e057a
08067,36.22%, 67.49%, 31.27%,-,1.23%,ac034f
08069,34.72%, 66.65%, 31.93%,-,1.43%,a90351
08071,10.06%, 44.38%, 54.43%,-,1.19%,71038a
08073,47.15%, 72.91%, 25.77%,-,1.32%,b90341
08075,45.84%, 72.33%, 26.50%,-,1.17%,b80243
08077,40.49%, 69.66%, 29.17%,-,1.17%,b1024a
08079,47.06%, 72.55%, 25.49%,-,1.96%,b90440
08081,48.22%, 72.88%, 24.65%,-,2.47%,b9063e
08083,47.46%, 73.06%, 25.59%,-,1.35%,ba0341
08085,42.25%, 70.40%, 28.15%,-,1.45%,b30347
08087,44.02%, 71.26%, 27.24%,-,1.5%,b50345
08089,27.49%, 62.37%, 34.88%,-,2.75%,9f0758
08091,42.48%, 70.85%, 28.37%,-,0.78%,b40148
08093,43.38%, 70.33%, 26.95%,-,2.72%,b30644
08095,43.85%, 71.36%, 27.50%,-,1.14%,b50246
08097,14.91%, 56.39%, 41.48%,-,2.13%,8f0569
08099,39.92%, 68.71%, 28.79%,-,2.49%,af0649
08101,4.77%, 47.19%, 51.97%,-,0.84%,780284
08103,62.46%, 80.81%, 18.35%,-,0.83%,ce022e
08105,47.35%, 73.25%, 25.90%,-,0.84%,ba0242
08107,34.14%, 66.15%, 32.01%,-,1.84%,a80451
08109,16.03%, 57.63%, 41.60%,-,0.77%,92016a
08111,26.40%, 61.66%, 35.26%,-,3.08%,9d0759
08113,11.77%, 54.77%, 43.00%,-,2.24%,8b056d
08115,45.29%, 72.39%, 27.10%,-,0.51%,b80145
08117,33.86%, 66.14%, 32.29%,-,1.57%,a80452
08119,52.98%, 75.84%, 22.86%,-,1.29%,c1033a
08121,56.33%, 77.50%, 21.16%,-,1.34%,c50335
08123,38.16%, 68.51%, 30.35%,-,1.14%,ae024d
08125,49.77%, 74.32%, 24.55%,-,1.14%,bd023e
09001,31.97%, 65.78%, 33.81%,-,0.41%,a70156
09003,10.47%, 55.02%, 44.56%,-,0.42%,8c0171
09005,32.76%, 66.21%, 33.45%,-,0.34%,a80055
09007,18.98%, 59.32%, 40.34%,-,0.34%,970066
09009,20.08%, 59.81%, 39.74%,-,0.45%,980165
09011,23.68%, 61.59%, 37.91%,-,0.5%,9d0160
09013,24.16%, 61.88%, 37.72%,-,0.4%,9d0160
09015,23.65%, 61.59%, 37.95%,-,0.46%,9d0160
10001,29.17%, 64.46%, 35.29%,-,0.25%,a40059
10003,14.57%, 57.14%, 42.57%,-,0.29%,91006c
10005,34.94%, 67.32%, 32.38%,-,0.3%,ab0052
11001,71.66%, 13.73%, 85.38%,-,0.89%,2302d9
12001,7.03%, 53.46%, 46.43%,-,0.1%,880076
