id,margin,nixon,mcgovern,other,other2
12091,77.82%, 88.64%,-, 0.55%,-
12093,61.19%, 80.58%,-, 0.03%,-
12095,59.50%, 79.57%,-, 0.35%,-
12097,66.25%, 82.94%,-, 0.37%,-
12099,45.17%, 72.35%,-, 0.47%,-
12101,44.05%, 71.91%,-, 0.24%,-
12103,39.80%, 69.83%,-, 0.15%,-
12105,57.23%, 78.42%,-, 0.38%,-
12107,49.85%, 74.61%,-, 0.63%,-
12109,55.34%, 77.48%,-, 0.37%,-
12111,51.11%, 75.40%,-, 0.31%,-
12113,78.47%, 88.94%,-, 0.60%,-
12115,59.96%, 79.95%,-, 0.06%,-
12117,61.84%, 80.84%,-, 0.15%,-
12119,53.73%, 76.71%,-, 0.31%,-
12121,62.07%, 80.77%,-, 0.53%,-
12123,68.99%, 84.50%,-,-,-
12125,67.71%, 83.85%,-,-,-
12127,41.59%, 70.60%,-, 0.39%,-
12129,64.08%, 82.01%,-, 0.07%,-
12131,72.27%, 85.93%,-, 0.41%,-
12133,72.30%, 86.11%,-, 0.07%,-
13001,68.66%, 84.33%,-,-,-
13003,49.88%, 74.94%,-,-,-
13005,80.44%, 90.22%,-,-,-
13007,47.33%, 73.66%,-,-,-
13009,54.16%, 77.08%,-,-,-
13011,57.92%, 78.96%,-,-,-
13013,59.58%, 79.79%,-,-,-
13015,50.51%, 75.26%,-,-,-
13017,49.91%, 74.96%,-,-,-
13019,72.06%, 86.03%,-,-,-
13021,45.74%, 72.87%,-,-,-
13023,71.92%, 85.96%,-,-,-
13025,64.88%, 82.44%,-,-,-
13027,58.15%, 79.08%,-,-,-
13029,68.54%, 84.27%,-,-,-
13031,57.71%, 78.85%,-,-,-
13033,45.80%, 72.90%,-,-,-
13035,46.05%, 73.02%,-,-,-
13037,28.62%, 64.31%,-,-,-
13039,51.93%, 75.97%,-,-,-
13043,71.41%, 85.71%,-,-,-
13045,58.71%, 79.36%,-,-,-
13047,74.09%, 87.05%,-,-,-
13049,60.10%, 80.05%,-,-,-
13051,41.97%, 70.98%,-,-,-
13053,48.07%, 74.03%,-,-,-
13055,55.10%, 77.55%,-,-,-
13057,65.24%, 82.62%,-,-,-
13059,30.62%, 65.31%,-,-,-
13061,38.14%, 69.07%,-,-,-
13063,72.72%, 86.36%,-,-,-
13065,65.01%, 82.50%,-,-,-
13067,70.24%, 85.12%,-,-,-
13069,73.27%, 86.63%,-,-,-
13071,76.25%, 88.12%,-,-,-
13073,67.29%, 83.65%,-,-,-
13075,60.53%, 80.26%,-,-,-
13077,57.32%, 78.66%,-,-,-
13079,39.01%, 69.51%,-,-,-
13081,68.32%, 84.16%,-,-,-
13083,86.89%, 93.45%,-,-,-
13085,56.52%, 78.26%,-,-,-
13087,56.41%, 78.21%,-,-,-
13089,54.70%, 77.35%,-,-,-
13091,66.20%, 83.10%,-,-,-
13093,52.69%, 76.34%,-,-,-
13095,56.07%, 78.03%,-,-,-
13097,74.13%, 87.07%,-,-,-
13099,64.73%, 82.37%,-,-,-
13101,71.19%, 85.59%,-,-,-
13103,72.93%, 86.47%,-,-,-
13105,52.97%, 76.48%,-,-,-
13107,60.17%, 80.09%,-,-,-
13109,63.25%, 81.63%,-,-,-
13111,59.89%, 79.95%,-,-,-
13113,76.63%, 88.31%,-,-,-
13115,64.24%, 82.12%,-,-,-
13117,68.78%, 84.39%,-,-,-
13119,64.59%, 82.30%,-,-,-
13121,12.85%, 56.43%,-,-,-
13123,56.08%, 78.04%,-,-,-
13125,86.75%, 93.38%,-,-,-
13127,51.76%, 75.88%,-,-,-
13129,66.63%, 83.31%,-,-,-
13131,62.05%, 81.02%,-,-,-
13133,29.25%, 64.63%,-,-,-
13135,72.52%, 86.26%,-,-,-
13137,69.90%, 84.95%,-,-,-
13139,62.82%, 81.41%,-,-,-
13141,3.00%, 51.50%,-,-,-
13143,63.71%, 81.85%,-,-,-
13145,57.75%, 78.87%,-,-,-
13147,49.29%, 74.64%,-,-,-
13149,63.56%, 81.78%,-,-,-
13151,55.86%, 77.93%,-,-,-
13153,68.31%, 84.16%,-,-,-
13155,69.35%, 84.68%,-,-,-
13157,59.26%, 79.63%,-,-,-
13159,47.15%, 73.57%,-,-,-
13161,72.02%, 86.01%,-,-,-
13163,40.22%, 70.11%,-,-,-
13165,57.04%, 78.52%,-,-,-
13167,68.14%, 84.07%,-,-,-
13169,48.50%, 74.25%,-,-,-
13171,46.93%, 73.47%,-,-,-
13173,62.99%, 81.50%,-,-,-
13175,55.06%, 77.53%,-,-,-
13177,57.40%, 78.70%,-,-,-
13179,31.51%, 65.76%,-,-,-
13181,57.12%, 78.56%,-,-,-
13183,52.80%, 76.40%,-,-,-
13185,58.99%, 79.50%,-,-,-
13187,58.65%, 79.32%,-,-,-
13189,50.03%, 75.01%,-,-,-
13191,24.27%, 62.14%,-,-,-
13193,41.10%, 70.55%,-,-,-
13195,64.00%, 82.00%,-,-,-
13197,67.65%, 83.83%,-,-,-
13199,47.64%, 73.82%,-,-,-
13201,82.98%, 91.49%,-,-,-
13205,36.36%, 68.18%,-,-,-
13207,46.87%, 73.43%,-,-,-
13209,60.52%, 80.26%,-,-,-
13211,50.06%, 75.03%,-,-,-
13213,60.82%, 80.41%,-,-,-
13215,55.11%, 77.55%,-,-,-
13217,54.21%, 77.10%,-,-,-
13219,62.78%, 81.39%,-,-,-
13221,68.01%, 84.00%,-,-,-
13223,47.41%, 73.70%,-,-,-
13225,21.66%, 60.83%,-,-,-
13227,60.32%, 80.16%,-,-,-
13229,76.10%, 88.05%,-,-,-
13231,54.39%, 77.20%,-,-,-
13233,57.83%, 78.91%,-,-,-
13235,63.15%, 81.58%,-,-,-
13237,52.94%, 76.47%,-,-,-
13239,56.39%, 78.19%,-,-,-
13241,60.28%, 80.14%,-,-,-
13243,33.53%, 66.76%,-,-,-
13245,45.09%, 72.55%,-,-,-
13247,63.64%, 81.82%,-,-,-
13249,62.15%, 81.07%,-,-,-
13251,61.37%, 80.69%,-,-,-
13253,66.23%, 83.12%,-,-,-
13255,61.69%, 80.84%,-,-,-
13257,62.49%, 81.24%,-,-,-
13259,48.58%, 74.29%,-,-,-
13261,56.28%, 78.14%,-,-,-
13263,32.18%, 66.09%,-,-,-
13265,22.26%, 61.13%,-,-,-
13267,70.92%, 85.46%,-,-,-
13269,50.91%, 75.45%,-,-,-
13271,53.14%, 76.57%,-,-,-
13273,49.98%, 74.99%,-,-,-
13275,50.88%, 75.44%,-,-,-
13277,69.82%, 84.91%,-,-,-
13279,71.61%, 85.80%,-,-,-
13281,59.13%, 79.56%,-,-,-
13283,73.01%, 86.50%,-,-,-
13285,60.48%, 80.24%,-,-,-
13287,65.82%, 82.91%,-,-,-
13289,10.10%, 55.05%,-,-,-
13291,51.49%, 75.74%,-,-,-
13293,69.04%, 84.52%,-,-,-
13295,69.44%, 84.72%,-,-,-
13297,55.59%, 77.80%,-,-,-
13299,58.47%, 79.23%,-,-,-
13301,42.42%, 71.21%,-,-,-
13303,51.58%, 75.79%,-,-,-
13305,66.76%, 83.38%,-,-,-
13307,63.45%, 81.73%,-,-,-
13309,57.61%, 78.80%,-,-,-
13311,63.51%, 81.76%,-,-,-
13313,62.92%, 81.46%,-,-,-
13315,71.07%, 85.54%,-,-,-
13317,54.52%, 77.26%,-,-,-
13319,49.03%, 74.52%,-,-,-
13321,68.89%, 84.44%,-,-,-
15001,18.19%, 59.09%,-,-,-
15003,26.64%, 63.32%,-,-,-
15005,0%,-,-,-,-
15007,16.73%, 58.36%,-,-,-
15009,22.19%, 61.09%,-,-,-
16001,44.15%, 67.51%,-, 0.43%, 8.70%
16003,47.15%, 67.77%,-, 0.21%, 11.40%
16005,22.60%, 57.93%,-, 0.66%, 6.07%
16007,47.00%, 69.48%,-, 0.16%, 7.88%
16009,16.06%, 55.54%,-, 0.19%, 4.80%
16011,41.20%, 64.33%,-, 0.29%, 12.26%
16013,25.19%, 60.98%,-, 0.43%, 2.80%
16015,41.18%, 66.27%,-, 0.20%, 8.43%
16017,23.56%, 57.47%,-, 0.38%, 8.25%
16019,41.62%, 61.19%,-, 0.28%, 18.97%
16021,27.15%, 59.26%,-, 0.49%, 8.14%
16023,28.72%, 56.45%,-, 0.07%, 15.76%
16025,53.78%, 74.30%,-,-, 5.18%
16027,47.48%, 68.45%,-, 0.28%, 10.31%
16029,49.19%, 69.95%,-, 0.03%, 9.26%
16031,56.73%, 74.26%,-, 0.54%, 7.68%
16033,60.31%, 74.34%,-, 0.22%, 11.40%
16035,5.67%, 50.67%,-, 0.76%, 3.57%
16037,49.93%, 69.06%,-, 0.21%, 11.59%
16039,41.62%, 66.55%,-, 0.26%, 8.26%
16041,55.90%, 71.59%,-, 0.13%, 12.59%
16043,42.06%, 61.38%,-, 0.12%, 19.32%
16045,37.19%, 61.32%,-, 0.18%, 14.38%
16047,47.41%, 70.73%,-, 0.16%, 5.80%
16049,31.01%, 62.20%,-, 0.27%, 6.34%
16051,30.86%, 58.38%,-, 0.12%, 27.51%
16053,56.89%, 75.11%,-, 0.18%, 6.48%
16055,29.54%, 61.33%,-, 0.26%, 6.63%
16057,13.69%, 55.35%,-, 0.54%, 2.45%
16059,42.22%, 61.99%,-, 0.24%, 19.77%
16061,19.32%, 56.97%,-, 0.36%, 5.04%
16063,53.59%, 74.37%,-, 0.46%, 4.38%
16065,52.09%, 69.13%,-, 0.21%, 17.04%
16067,44.81%, 68.66%,-, 0.28%, 7.21%
16069,9.64%, 52.19%,-, 1.63%, 3.63%
16071,47.60%, 71.45%,-, 0.12%, 4.57%
16073,50.22%, 70.14%,-, 0.09%, 9.85%
16075,46.74%, 67.85%,-, 0.32%, 10.72%
16077,35.78%, 64.45%,-, 0.37%, 6.51%
16079,11.77%, 53.67%,-, 0.46%, 3.97%
16081,46.65%, 68.58%,-,-, 9.49%
16083,55.06%, 73.98%,-, 0.72%, 6.38%
16085,36.59%, 61.55%,-, 0.46%, 13.02%
16087,36.39%, 61.99%,-, 0.30%, 12.10%
17001,39.12%, 69.46%,-, 0.20%,-
17003,19.12%, 59.09%,-, 0.93%,-
17005,24.66%, 62.30%,-, 0.06%,-
17007,38.09%, 68.89%,-, 0.30%,-
17009,19.09%, 58.90%,-, 1.29%,-
17011,35.10%, 67.47%,-, 0.17%,-
