id,margin,nixon,kennedy,other,hex_color
12103,27.36%, 63.68%, 36.32%,0.0%,a2005c
12105,14.63%, 57.32%, 42.68%,0.0%,92006c
12107,2.56%, 48.72%, 51.28%,0.0%,7c0082
12109,15.02%, 42.49%, 57.51%,0.0%,6c0092
12111,8.49%, 54.24%, 45.76%,0.0%,8a0074
12113,28.22%, 35.89%, 64.11%,0.0%,5b00a3
12115,41.40%, 70.70%, 29.30%,0.0%,b4004a
12117,29.25%, 64.63%, 35.37%,0.0%,a4005a
12119,34.10%, 32.95%, 67.05%,0.0%,5400aa
12121,28.97%, 35.51%, 64.49%,0.0%,5a00a4
12123,22.31%, 38.85%, 61.15%,0.0%,63009b
12125,50.32%, 24.84%, 75.16%,0.0%,3f00bf
12127,9.64%, 54.82%, 45.18%,0.0%,8b0073
12129,50.30%, 24.85%, 75.15%,0.0%,3f00bf
12131,42.10%, 28.95%, 71.05%,0.0%,4900b5
12133,26.08%, 36.96%, 63.04%,0.0%,5e00a0
13001,46.69%, 26.65%, 73.35%,0.0%,4300bb
13003,68.90%, 15.55%, 84.45%,0.0%,2700d7
13005,33.71%, 33.14%, 66.86%,0.0%,5400aa
13007,83.21%, 8.40%, 91.60%,0.0%,1500e9
13009,28.30%, 35.85%, 64.15%,0.0%,5b00a3
13011,68.22%, 15.89%, 84.11%,0.0%,2800d6
13013,65.41%, 17.30%, 82.70%,0.0%,2c00d2
13015,46.58%, 26.71%, 73.29%,0.0%,4400ba
13017,54.24%, 22.88%, 77.12%,0.0%,3a00c4
13019,76.67%, 11.66%, 88.34%,0.0%,1d00e1
13021,15.51%, 42.24%, 57.76%,0.0%,6b0093
13023,46.90%, 26.55%, 73.45%,0.0%,4300bb
13025,58.97%, 20.51%, 79.49%,0.0%,3400ca
13027,32.45%, 33.77%, 66.23%,0.0%,5600a8
13029,51.11%, 24.44%, 75.56%,0.0%,3e00c0
13031,38.27%, 30.87%, 69.13%,0.0%,4e00b0
13033,6.17%, 46.92%, 53.08%,0.0%,770087
13035,62.82%, 18.59%, 81.41%,0.0%,2f00cf
13037,71.95%, 14.03%, 85.97%,0.0%,2300db
13039,16.34%, 41.83%, 58.17%,0.0%,6a0094
13043,37.06%, 31.47%, 68.53%,0.0%,5000ae
13045,46.20%, 26.90%, 73.10%,0.0%,4400ba
13047,0.96%, 49.52%, 50.48%,0.0%,7e0080
13049,43.44%, 28.28%, 71.72%,0.0%,4800b6
13051,4.96%, 52.48%, 47.52%,0.0%,850079
13053,48.44%, 25.78%, 74.22%,0.0%,4100bd
13055,39.57%, 30.22%, 69.78%,0.0%,4d00b1
13057,13.58%, 43.21%, 56.79%,0.0%,6e0090
13059,36.28%, 31.86%, 68.14%,0.0%,5100ad
13061,72.55%, 13.73%, 86.27%,0.0%,2300db
13063,33.23%, 33.39%, 66.61%,0.0%,5500a9
13065,38.69%, 30.66%, 69.34%,0.0%,4e00b0
13067,22.07%, 38.97%, 61.03%,0.0%,63009b
13069,54.76%, 22.62%, 77.38%,0.0%,3900c5
13071,44.59%, 27.70%, 72.30%,0.0%,4600b8
13073,1.49%, 49.25%, 50.75%,0.0%,7d0081
13075,65.81%, 17.10%, 82.90%,0.0%,2b00d3
13077,53.77%, 23.12%, 76.88%,0.0%,3a00c4
13079,59.40%, 20.30%, 79.70%,0.0%,3300cb
13081,42.13%, 28.94%, 71.06%,0.0%,4900b5
13083,1.84%, 49.08%, 50.92%,0.0%,7d0081
13085,39.10%, 30.45%, 69.55%,0.0%,4d00b1
13087,50.35%, 24.82%, 75.18%,0.0%,3f00bf
13089,0.15%, 49.93%, 50.07%,0.0%,7f007f
13091,52.39%, 23.80%, 76.20%,0.0%,3c00c2
13093,77.47%, 11.26%, 88.74%,0.0%,1c00e2
13095,2.25%, 48.88%, 51.12%,0.0%,7c0082
13097,38.79%, 30.60%, 69.40%,0.0%,4e00b0
13099,76.46%, 11.77%, 88.23%,0.0%,1e00e0
13101,40.82%, 29.59%, 70.41%,0.0%,4b00b3
13103,0.28%, 50.14%, 49.86%,0.0%,7f007f
13105,71.55%, 14.23%, 85.77%,0.0%,2400da
13107,38.34%, 30.83%, 69.17%,0.0%,4e00b0
13109,30.68%, 34.66%, 65.34%,0.0%,5800a6
13111,31.36%, 65.68%, 34.32%,0.0%,a70057
13113,53.89%, 23.06%, 76.94%,0.0%,3a00c4
