id,margin,dole,clinton,perot,nader,other,hex_color
06047,2.00%, 44.41%, 46.41%, 7.30%,-,9.180000000000007%,711776
06049,21.31%, 53.10%, 31.79%, 12.27%,-,15.11%,872651
06051,7.38%, 46.00%, 38.62%, 10.93%, 2.35%,15.379999999999995%,752762
06053,16.49%, 36.66%, 53.15%, 6.67%, 2.20%,10.189999999999998%,5d1987
06055,14.80%, 36.09%, 50.89%, 8.80%, 2.57%,13.019999999999996%,5c2181
06057,14.84%, 50.40%, 35.56%, 7.70%, 4.85%,14.039999999999992%,80235a
06059,13.79%, 51.67%, 37.88%, 7.66%,-,10.449999999999989%,831a60
06061,15.70%, 52.75%, 37.05%, 6.93%,-,10.200000000000003%,861a5e
06063,14.00%, 50.31%, 36.31%, 9.43%, 2.19%,13.379999999999995%,80225c
06065,2.56%, 45.61%, 43.05%, 9.06%,-,11.340000000000003%,741c6d
06067,9.07%, 40.76%, 49.83%, 5.86%, 2.24%,9.409999999999997%,67177f
06069,11.84%, 38.72%, 50.55%, 7.51%,-,10.730000000000004%,621b80
06071,0.78%, 43.58%, 44.36%, 9.51%,-,12.060000000000002%,6f1e71
06073,1.46%, 45.57%, 44.11%, 7.13%,-,10.319999999999993%,741a70
06075,56.58%, 15.66%, 72.24%, 3.33%, 7.39%,12.100000000000009%,271eb8
06077,1.46%, 44.87%, 46.34%, 6.68%,-,8.789999999999992%,721676
06079,6.31%, 46.50%, 40.19%, 8.16%, 3.83%,13.310000000000002%,762166
06081,31.33%, 29.22%, 60.55%, 5.98%, 2.92%,10.230000000000004%,4a1a9a
06083,4.47%, 42.40%, 46.87%, 6.27%, 3.17%,10.730000000000004%,6c1b77
06085,24.72%, 32.16%, 56.88%, 6.67%, 2.35%,10.960000000000008%,521b91
06087,29.58%, 26.94%, 56.52%, 6.36%, 7.57%,16.539999999999992%,442a90
06089,22.06%, 55.17%, 33.11%, 9.33%,-,11.719999999999999%,8c1d54
06091,17.81%, 51.38%, 33.57%, 9.96%, 2.34%,15.049999999999997%,832655
06093,8.92%, 47.30%, 38.39%, 10.27%, 2.03%,14.310000000000002%,782461
06095,20.38%, 34.74%, 55.12%, 7.40%,-,10.14%,58198c
06097,26.03%, 29.54%, 55.57%, 7.65%, 5.27%,14.89%,4b258d
06099,1.14%, 44.79%, 45.93%, 7.14%,-,9.280000000000001%,721775
06101,23.28%, 57.64%, 34.37%, 6.20%,-,7.990000000000009%,921457
