id,margin,goldwater,johnson,other,hex_color
13071,43.38%, 71.67%, 28.29%,-,b60048
13073,28.65%, 64.33%, 35.67%,-,a4005a
13075,21.24%, 60.62%, 39.38%,-,9a0064
13077,0.76%, 49.62%, 50.38%,-,7e0080
13079,13.93%, 56.96%, 43.04%,-,91006d
13081,31.04%, 65.52%, 34.48%,-,a70057
13083,5.79%, 52.84%, 47.05%,-,860077
13085,18.65%, 40.67%, 59.33%,-,670097
13087,43.11%, 71.55%, 28.44%,-,b60048
13089,14.20%, 57.10%, 42.90%,-,91006d
13091,16.06%, 58.03%, 41.97%,-,93006b
13093,6.10%, 53.05%, 46.95%,-,870077
13095,41.77%, 70.88%, 29.12%,-,b4004a
13097,14.00%, 57.00%, 43.00%,-,91006d
13099,51.34%, 75.67%, 24.33%,-,c0003e
13101,36.88%, 68.44%, 31.56%,-,ae0050
13103,59.48%, 79.74%, 20.26%,-,cb0033
13105,25.40%, 37.30%, 62.70%,-,5f009f
13107,18.46%, 59.23%, 40.77%,-,970067
13109,32.60%, 66.30%, 33.70%,-,a90055
13111,9.56%, 54.77%, 45.21%,-,8b0073
13113,20.14%, 59.98%, 39.84%,-,980065
13115,5.90%, 52.85%, 46.95%,-,860077
13117,6.69%, 46.64%, 53.33%,-,760087
13119,52.26%, 23.84%, 76.10%,-,3c00c2
13121,12.19%, 43.90%, 56.09%,-,6f008f
13123,0.18%, 50.09%, 49.91%,-,7f007f
13125,72.37%, 86.19%, 13.81%,-,db0023
13127,12.48%, 56.22%, 43.75%,-,8f006f
13129,16.91%, 41.55%, 58.45%,-,690095
13131,22.51%, 61.25%, 38.75%,-,9c0062
13133,42.34%, 28.83%, 71.17%,-,4900b5
13135,0.87%, 50.42%, 49.55%,-,80007e
13137,36.27%, 31.84%, 68.12%,-,5100ad
13139,30.11%, 34.90%, 65.01%,-,5800a5
13141,7.45%, 46.27%, 53.73%,-,750089
13143,17.74%, 58.85%, 41.11%,-,960068
13145,39.47%, 69.74%, 30.26%,-,b1004d
13147,45.76%, 27.00%, 72.77%,-,4400b9
13149,13.59%, 43.18%, 56.77%,-,6e0090
13151,6.83%, 46.58%, 53.41%,-,760088
13153,21.07%, 60.53%, 39.46%,-,9a0064
13155,46.32%, 73.16%, 26.84%,-,ba0044
13157,40.75%, 29.62%, 70.38%,-,4b00b3
13159,11.80%, 55.90%, 44.10%,-,8e0070
13161,43.13%, 71.56%, 28.44%,-,b60048
13163,40.36%, 70.15%, 29.80%,-,b2004b
13165,24.87%, 62.43%, 37.57%,-,9f005f
13167,47.98%, 73.99%, 26.01%,-,bc0042
13169,13.34%, 56.67%, 43.33%,-,90006e
13171,0.70%, 50.30%, 49.60%,-,80007e
