id,margin,harding,cox,other,other2,hex_color
10005,7.14%, 53.57%, 46.43%,0.0%,-,880076
11001,0%,-,-,0.0%,-,000000
12001,48.01%, 24.52%, 72.52%,0.5%,-,3e01b8
12003,45.47%, 22.64%, 68.11%,0.0%,-,3900ad
12005,17.92%, 36.98%, 54.90%,0.0%,-,5e008b
12007,63.42%, 15.40%, 78.82%,0.5%,-,2701c8
12009,14.01%, 39.30%, 53.31%,0.0%,-,640087
12011,2.70%, 44.24%, 41.54%,0.0%,-,700069
12013,67.67%, 9.02%, 78.42%,1.82%,-,1704c7
12015,0%,-,-,0.0%,-,000000
12017,70.69%, 11.93%, 82.61%,0.0%,-,1e00d2
12019,6.41%, 43.28%, 49.69%,0.0%,-,6e007e
12021,0%,-,-,0.0%,-,000000
12023,70.38%, 10.50%, 80.88%,0.0%,-,1a00ce
12027,36.91%, 28.02%, 64.93%,1.93%,-,4704a5
12029,0%,-,-,0.0%,-,000000
12031,33.03%, 31.18%, 64.21%,0.0%,-,4f00a3
12033,42.25%, 22.96%, 65.20%,0.0%,-,3a00a6
12035,35.29%, 19.79%, 55.08%,0.0%,-,32008c
12037,32.88%, 29.18%, 62.05%,0.0%,-,4a009e
12039,94.77%,-, 96.68%,3.32%,-,0008f6
12041,0%,-,-,0.0%,-,000000
12043,0%,-,-,0.0%,-,000000
12045,0%,-,-,0.0%,-,000000
12047,58.48%, 15.91%, 74.39%,1.58%,-,2804bd
12049,0%,-,-,0.0%,-,000000
12051,0%,-,-,0.0%,-,000000
12053,59.90%, 16.14%, 76.04%,0.0%,-,2900c1
12055,0%,-,-,0.0%,-,000000
12057,25.95%, 30.54%, 56.49%,0.0%,-,4d0090
12059,20.75%, 33.56%, 54.31%,0.0%,-,55008a
12061,0%,-,-,0.0%,-,000000
12063,62.34%, 16.37%, 78.70%,0.0%,-,2900c8
12065,49.24%, 22.85%, 72.08%,1.82%,-,3a04b7
12067,76.89%, 9.66%, 86.55%,1.4%,-,1803dc
12069,38.82%, 28.90%, 67.72%,1.34%,-,4903ac
12071,18.42%, 36.95%, 55.37%,0.0%,-,5e008d
12073,48.78%, 22.97%, 71.75%,0.0%,-,3a00b6
12075,39.51%, 29.50%, 69.01%,1.49%,-,4b03af
12077,87.67%,-, 91.63%,1.1%,-,0002e9
12079,90.26%, 3.04%, 93.31%,1.42%,-,0703ed
12081,31.60%, 30.83%, 62.43%,0.0%,-,4e009f
12083,30.86%, 31.57%, 62.43%,0.0%,-,50009f
12085,0%,-,-,0.0%,-,000000
12086,14.99%, 38.09%, 53.08%,0.0%,-,610087
12087,26.85%, 29.19%, 56.04%,0.0%,-,4a008e
12089,49.60%, 22.52%, 72.12%,1.76%,-,3904b7
12091,15.65%, 40.98%, 56.63%,2.39%,-,680690
12093,49.18%, 15.93%, 65.11%,0.0%,-,2800a6
12095,16.03%, 39.45%, 55.48%,1.72%,-,64048d
12097,16.41%, 55.32%, 38.91%,0.0%,-,8d0063
12099,10.40%, 48.69%, 38.29%,0.0%,-,7c0061
12101,28.45%, 33.44%, 61.89%,1.86%,-,55049d
12103,5.48%, 43.46%, 48.94%,0.0%,-,6e007c
12105,35.91%, 29.95%, 65.86%,1.51%,-,4c03a7
12107,12.90%, 40.51%, 53.41%,0.0%,-,670088
