statecounty,margin,dole,clinton,perot,nader,other
51179,16.08%, 54.04%, 37.95%, 7.11%,-, 0.89%
51181,27.54%, 32.13%, 59.67%, 6.16%,-, 2.04%
51183,18.75%, 36.34%, 55.09%, 6.75%,-, 1.82%
51185,8.87%, 39.71%, 48.58%, 10.06%,-, 1.65%
51187,8.73%, 48.25%, 39.52%, 9.37%,-, 0.59%
51191,11.88%, 50.07%, 38.19%, 9.10%,-, 0.53%
51193,10.64%, 40.31%, 50.95%, 7.38%,-, 1.36%
51195,15.67%, 35.59%, 51.27%, 11.29%,-, 1.85%
51197,11.69%, 49.99%, 38.31%, 11.17%,-, 0.53%
51199,17.67%, 54.95%, 37.28%, 7.08%,-, 0.68%
51510,27.34%, 34.26%, 61.60%, 3.24%,-, 0.89%
51515,3.25%, 42.84%, 46.08%, 9.17%,-, 1.90%
51520,6.59%, 49.50%, 42.91%, 7.12%,-, 0.46%
51530,18.33%, 34.66%, 52.99%, 10.50%,-, 1.85%
51540,29.91%, 31.99%, 61.90%, 4.42%,-, 1.70%
51550,0.86%, 46.66%, 45.80%, 7.11%,-, 0.42%
51570,40.99%, 66.62%, 25.63%, 7.45%,-, 0.30%
51580,25.72%, 31.10%, 56.83%, 10.40%,-, 1.67%
51590,5.86%, 49.97%, 44.11%, 4.11%,-, 1.81%
51595,13.05%, 40.65%, 53.70%, 4.77%,-, 0.88%
51600,4.69%, 49.39%, 44.70%, 4.83%,-, 1.09%
51610,17.06%, 38.38%, 55.44%, 4.72%,-, 1.47%
51620,22.51%, 35.45%, 57.96%, 5.94%,-, 0.65%
51630,10.32%, 41.84%, 52.16%, 4.87%,-, 1.14%
51640,5.64%, 41.72%, 47.36%, 10.13%,-, 0.78%
51650,17.74%, 37.29%, 55.03%, 6.25%,-, 1.43%
51660,17.89%, 55.33%, 37.44%, 4.86%,-, 2.37%
51670,8.85%, 49.46%, 40.61%, 7.79%,-, 2.14%
51678,10.22%, 41.56%, 51.78%, 5.48%,-, 1.17%
51680,5.04%, 49.72%, 44.68%, 5.02%,-, 0.59%
51683,12.97%, 52.91%, 39.95%, 6.11%,-, 1.03%
51685,9.14%, 49.84%, 40.70%, 8.22%,-, 1.25%
51690,8.47%, 41.87%, 50.34%, 6.62%,-, 1.16%
51700,8.48%, 42.50%, 50.98%, 5.69%,-, 0.83%
