statecounty,Margin,Reagan,Mondale,Hall,Other
13015,19.56%, 59.78%, 40.22%,-,-
13017,10.88%, 55.44%, 44.56%,-,-
13019,17.84%, 58.92%, 41.08%,-,-
13021,4.46%, 47.77%, 52.23%,-,-
13023,13.24%, 56.62%, 43.38%,-,-
13025,5.07%, 52.53%, 47.47%,-,-
13027,14.60%, 57.30%, 42.70%,-,-
13029,23.67%, 61.83%, 38.17%,-,-
13031,25.34%, 62.67%, 37.33%,-,-
13033,0.16%, 50.08%, 49.92%,-,-
13035,8.10%, 54.05%, 45.95%,-,-
13037,16.24%, 41.88%, 58.12%,-,-
13039,13.53%, 56.76%, 43.24%,-,-
13043,19.24%, 59.62%, 40.38%,-,-
13045,34.34%, 67.17%, 32.83%,-,-
13047,43.82%, 71.91%, 28.09%,-,-
13049,10.37%, 55.18%, 44.82%,-,-
13051,15.30%, 57.65%, 42.35%,-,-
13053,3.49%, 51.75%, 48.25%,-,-
13055,6.82%, 53.41%, 46.59%,-,-
13057,52.22%, 76.11%, 23.89%,-,-
13059,6.34%, 53.17%, 46.83%,-,-
13061,28.31%, 35.84%, 64.16%,-,-
13063,45.69%, 72.84%, 27.16%,-,-
13065,15.94%, 57.97%, 42.03%,-,-
13067,54.84%, 77.42%, 22.58%,-,-
13069,22.93%, 61.47%, 38.53%,-,-
13071,28.89%, 64.45%, 35.55%,-,-
13073,53.47%, 76.74%, 23.26%,-,-
13075,10.39%, 55.19%, 44.81%,-,-
13077,37.24%, 68.62%, 31.38%,-,-
13079,4.59%, 47.70%, 52.30%,-,-
13081,15.27%, 57.63%, 42.37%,-,-
13083,41.03%, 70.51%, 29.49%,-,-
13085,34.55%, 67.28%, 32.72%,-,-
13087,21.77%, 60.88%, 39.12%,-,-
13089,15.04%, 57.52%, 42.48%,-,-
13091,4.77%, 52.39%, 47.61%,-,-
13093,9.21%, 45.40%, 54.60%,-,-
13095,13.47%, 56.73%, 43.27%,-,-
13097,47.96%, 73.98%, 26.02%,-,-
13099,19.96%, 59.98%, 40.02%,-,-
13101,33.24%, 66.62%, 33.38%,-,-
13103,34.98%, 67.49%, 32.51%,-,-
13105,11.53%, 55.77%, 44.23%,-,-
13107,22.92%, 61.46%, 38.54%,-,-
13109,14.60%, 57.30%, 42.70%,-,-
13111,35.83%, 67.91%, 32.09%,-,-
