id,margin,hoover,smith,other,hex_color
08087,53.58%, 76.10%, 22.52%, 1.38%,c20339
08089,50.61%, 74.88%, 24.27%, 0.85%,be023d
08091,5.39%, 51.49%, 46.10%, 2.41%,830675
08093,27.25%, 62.82%, 35.57%, 1.61%,a0045a
08095,33.26%, 65.16%, 31.90%, 0.45%,a60151
08097,3.26%, 50.95%, 47.69%, 1.37%,810379
08099,44.56%, 71.50%, 26.93%, 1.57%,b60444
08101,32.36%, 65.65%, 33.29%, 1.06%,a70254
08103,32.83%, 65.50%, 32.67%, 1.83%,a70453
08105,29.20%, 64.03%, 34.83%, 1.14%,a30258
08107,16.41%, 57.36%, 40.95%, 1.69%,920468
08109,26.75%, 62.62%, 35.87%, 1.51%,9f035b
08111,21.31%, 37.13%, 58.45%, 0.80%,5e0295
08113,12.72%, 54.91%, 42.19%, 2.89%,8c076b
08115,36.11%, 67.51%, 31.40%, 1.08%,ac0250
08117,8.22%, 53.16%, 44.93%, 1.91%,870472
08119,6.46%, 52.04%, 45.58%, 2.37%,840674
08121,42.06%, 69.99%, 27.94%, 2.07%,b20547
08123,40.36%, 69.58%, 29.22%, 1.20%,b1034a
08125,40.98%, 69.07%, 28.09%, 2.84%,b00747
09001,12.44%, 55.81%, 43.37%, 0.82%,8e026e
09003,7.14%, 53.16%, 46.02%, 0.82%,870275
09005,27.91%, 63.73%, 35.81%, 0.46%,a2015b
09007,20.45%, 59.92%, 39.47%, 0.61%,980164
09009,1.03%, 49.05%, 50.08%, 0.87%,7d027f
09011,13.38%, 56.30%, 42.93%, 0.77%,8f016d
09013,20.64%, 59.74%, 39.10%, 1.16%,980263
09015,3.03%, 51.35%, 48.31%, 0.34%,82007b
10001,18.51%, 59.16%, 40.65%, 0.19%,960067
10003,35.76%, 67.66%, 31.90%, 0.44%,ac0151
10005,28.46%, 64.10%, 35.64%, 0.27%,a3005a
11001,0%,-,-,-,000000
12001,2.83%, 2.35%, 35.01%,-,050059
12003,46.47%, 72.38%, 25.91%, 1.71%,b80442
12005,9.82%, 44.27%, 54.09%, 1.64%,700489
12007,11.88%, 43.73%, 55.61%, 0.66%,6f018d
12009,26.04%, 62.12%, 36.08%, 1.80%,9e045c
12011,29.19%, 63.63%, 34.45%, 1.92%,a20457
12013,27.23%, 35.02%, 62.24%, 0.68%,59019e
12015,14.29%, 55.73%, 41.45%, 2.82%,8e0769
12017,23.26%, 37.77%, 61.03%, 1.20%,60039b
12019,45.96%, 72.05%, 26.09%, 1.85%,b70442
12021,25.74%, 37.01%, 62.75%, 0.25%,5e00a0
12023,50.00%, 24.36%, 74.36%, 1.28%,3e03bd
12027,29.38%, 64.04%, 34.66%, 1.30%,a30358
12029,15.03%, 57.52%, 42.48%,-,92006c
12031,28.49%, 63.39%, 34.91%, 1.70%,a10459
12033,8.05%, 53.32%, 45.27%, 1.42%,870373
12035,18.96%, 58.14%, 39.18%, 2.68%,940663
12037,11.01%, 44.30%, 55.31%, 0.40%,70018d
12039,54.03%, 22.31%, 76.34%, 1.35%,3803c2
12041,48.55%, 22.73%, 71.27%, 0.55%,3901b5
12043,8.12%, 53.73%, 45.62%, 0.65%,890174
12045,26.68%, 34.98%, 61.66%, 3.36%,59089d
12047,57.86%, 16.83%, 74.70%, 1.11%,2a02be
12049,42.33%, 70.06%, 27.73%, 2.22%,b20546
12051,11.41%, 54.18%, 42.77%, 3.05%,8a076d
12053,2.89%, 47.79%, 50.69%, 1.52%,790381
12055,34.57%, 66.52%, 31.95%, 1.53%,a90351
12057,7.74%, 52.98%, 45.24%, 1.77%,870473
12059,50.23%, 74.44%, 24.21%, 1.35%,bd033d
12061,12.48%, 55.61%, 43.14%, 1.25%,8d036e
12063,28.33%, 35.43%, 63.76%, 0.81%,5a02a2
12065,58.86%, 20.22%, 79.09%, 0.69%,3301c9
12067,52.17%, 23.48%, 75.65%, 0.87%,3b02c0
12069,38.42%, 68.08%, 29.66%, 2.25%,ad054b
12071,27.75%, 63.17%, 35.42%, 1.41%,a1035a
12073,49.35%, 24.72%, 74.07%, 1.22%,3f03bc
12075,5.59%, 46.23%, 51.82%, 1.95%,750484
12077,21.07%, 39.20%, 60.27%, 0.53%,630199
12079,48.60%, 25.70%, 74.30%,-,4100bd
12081,29.11%, 63.87%, 34.76%, 1.37%,a20358
12083,1.65%, 49.75%, 48.10%, 2.14%,7e057a
12085,18.91%, 58.05%, 39.14%, 2.81%,940763
12086,21.71%, 60.15%, 38.44%, 1.41%,990362
12087,24.48%, 36.93%, 61.42%, 1.65%,5e049c
12089,31.55%, 65.13%, 33.58%, 1.28%,a60355
12091,46.30%, 72.70%, 26.40%, 0.89%,b90243
12093,38.78%, 68.87%, 30.08%, 1.05%,af024c
