id,margin,mccain,obama,other,hex_color
12031,1.90%, 50.53%, 48.63%, 0.85%,80027c
12033,19.27%, 59.02%, 39.76%, 1.22%,960365
12035,1.57%, 48.66%, 50.24%, 1.10%,7c0280
12037,27.84%, 63.12%, 35.28%, 1.60%,a00459
12039,38.92%, 30.22%, 69.14%, 0.64%,4d01b0
12041,46.81%, 72.34%, 25.53%, 2.14%,b80541
12043,20.16%, 59.45%, 39.29%, 1.27%,970364
12045,39.22%, 68.99%, 29.77%, 1.23%,af034b
12047,14.56%, 56.81%, 42.24%, 0.95%,90026b
12049,29.49%, 64.00%, 34.51%, 1.49%,a30358
12051,7.16%, 52.94%, 45.78%, 1.27%,860374
12053,3.55%, 51.01%, 47.46%, 1.53%,820379
12055,18.00%, 58.37%, 40.37%, 1.26%,940366
12057,7.12%, 45.94%, 53.05%, 1.01%,750287
12059,64.84%, 81.63%, 16.78%, 1.59%,d0042a
12061,14.78%, 56.74%, 41.96%, 1.29%,90036a
12063,27.97%, 63.47%, 35.49%, 1.04%,a1025a
12065,3.65%, 47.59%, 51.24%, 1.17%,790282
12067,60.32%, 79.33%, 19.01%, 1.66%,ca0430
12069,13.47%, 56.19%, 42.71%, 1.10%,8f026c
12071,10.34%, 54.67%, 44.34%, 0.99%,8b0271
12073,24.20%, 37.40%, 61.60%, 1.00%,5f029d
12075,26.84%, 62.56%, 35.72%, 1.72%,9f045b
12077,43.94%, 71.18%, 27.24%, 1.58%,b50445
12079,3.08%, 51.02%, 47.94%, 1.04%,82027a
12081,7.01%, 52.94%, 45.93%, 1.12%,860275
12083,11.56%, 55.14%, 43.58%, 1.28%,8c036f
12085,13.54%, 56.22%, 42.67%, 1.11%,8f026c
12086,16.11%, 41.70%, 57.81%, 0.49%,6a0193
12087,4.89%, 46.86%, 51.75%, 1.39%,770383
12089,43.72%, 71.38%, 27.66%, 0.97%,b60246
12091,44.81%, 71.82%, 27.01%, 1.17%,b70244
12093,19.11%, 58.89%, 39.79%, 1.32%,960365
12095,18.61%, 40.35%, 58.96%, 0.69%,660196
12097,19.69%, 39.72%, 59.41%, 0.87%,650297
12099,22.87%, 38.22%, 61.08%, 0.70%,61019b
12101,3.57%, 51.07%, 47.51%, 1.42%,820379
12103,8.22%, 45.16%, 53.38%, 1.46%,730388
12105,6.11%, 52.45%, 46.34%, 1.21%,850376
12107,19.23%, 59.01%, 39.77%, 1.22%,960365
12109,31.51%, 65.25%, 33.74%, 1.01%,a60256
12111,12.08%, 43.41%, 55.49%, 1.11%,6e028d
12113,47.79%, 73.28%, 25.49%, 1.22%,ba0340
12115,0.10%, 49.47%, 49.37%, 1.16%,7e027d
12117,2.78%, 50.90%, 48.12%, 0.98%,81027a
12119,26.97%, 63.01%, 36.04%, 0.94%,a0025b
12121,43.01%, 70.77%, 27.76%, 1.47%,b40346
12123,38.93%, 68.79%, 29.86%, 1.35%,af034c
12125,49.72%, 74.20%, 24.48%, 1.32%,bd033e
12127,5.66%, 46.53%, 52.19%, 1.28%,760385
12129,24.81%, 61.75%, 36.94%, 1.31%,9d035e
12131,45.64%, 72.08%, 26.43%, 1.49%,b70343
12133,47.60%, 73.23%, 25.64%, 1.13%,ba0241
13001,46.26%, 72.62%, 26.36%, 1.01%,b90243
13003,34.50%, 66.77%, 32.27%, 0.96%,aa0252
13005,57.64%, 78.36%, 20.73%, 0.91%,c70234
13007,1.07%, 49.02%, 50.09%, 0.89%,7d027f
13009,4.61%, 47.23%, 51.84%, 0.93%,780284
13011,65.50%, 81.93%, 16.43%, 1.63%,d00429
13013,44.53%, 71.55%, 27.02%, 1.42%,b60344
13015,45.10%, 71.81%, 26.71%, 1.48%,b70344
13017,13.66%, 56.46%, 42.80%, 0.74%,8f016d
13019,53.15%, 75.95%, 22.80%, 1.26%,c1033a
13021,17.98%, 40.69%, 58.67%, 0.64%,670195
13023,44.79%, 71.93%, 27.14%, 0.92%,b70245
13025,62.99%, 80.79%, 17.80%, 1.42%,ce032d
13027,13.51%, 56.52%, 43.01%, 0.47%,90016d
13029,42.56%, 70.82%, 28.26%, 0.92%,b40248
13031,19.14%, 59.12%, 39.98%, 0.90%,960265
13033,9.22%, 45.08%, 54.30%, 0.62%,72018a
13035,31.66%, 65.32%, 33.67%, 1.01%,a60255
13037,21.70%, 38.97%, 60.67%, 0.36%,63009a
13039,23.50%, 61.39%, 37.89%, 0.72%,9c0160
13043,30.58%, 64.91%, 34.33%, 0.77%,a50157
13045,32.87%, 65.76%, 32.89%, 1.35%,a70353
13047,49.55%, 74.04%, 24.49%, 1.47%,bc033e
13049,34.33%, 66.70%, 32.38%, 0.92%,aa0252
13051,14.42%, 42.40%, 56.82%, 0.78%,6c0190
13053,1.15%, 48.97%, 50.12%, 0.91%,7c027f
13055,35.70%, 66.83%, 31.14%, 2.03%,aa054f
13057,51.00%, 74.79%, 23.78%, 1.43%,be033c
13059,31.22%, 33.58%, 64.80%, 1.62%,5504a5
13061,22.29%, 38.75%, 61.04%, 0.21%,62009b
13063,66.34%, 16.59%, 82.93%, 0.48%,2a01d3
13065,25.50%, 62.10%, 36.60%, 1.30%,9e035d
13067,9.41%, 54.08%, 44.67%, 1.25%,890371
13069,29.52%, 64.49%, 34.97%, 0.55%,a40159
13071,37.51%, 68.27%, 30.76%, 0.97%,ae024e
13073,42.58%, 70.89%, 28.31%, 0.80%,b40248
13075,28.89%, 64.00%, 35.12%, 0.88%,a30259
13077,41.11%, 70.05%, 28.94%, 1.01%,b20249
13079,29.08%, 63.99%, 34.91%, 1.11%,a30259
13081,17.73%, 58.56%, 40.84%, 0.60%,950168
13083,47.98%, 73.01%, 25.02%, 1.97%,ba053f
13085,66.19%, 82.54%, 16.34%, 1.12%,d20229
13087,14.12%, 56.72%, 42.60%, 0.68%,90016c
13089,58.55%, 20.31%, 78.86%, 0.83%,3302c9
13091,35.85%, 67.40%, 31.55%, 1.05%,ab0250
13093,3.53%, 47.85%, 51.38%, 0.77%,7a0183
13095,34.94%, 32.27%, 67.21%, 0.52%,5201ab
13097,1.84%, 48.58%, 50.41%, 1.01%,7b0280
13099,2.02%, 50.74%, 48.72%, 0.54%,81017c
13101,65.66%, 82.58%, 16.92%, 0.51%,d2012b
13103,50.61%, 74.87%, 24.27%, 0.86%,be023d
13105,18.03%, 58.43%, 40.40%, 1.18%,940367
13107,24.75%, 61.92%, 37.18%, 0.90%,9d025e
13109,28.22%, 63.85%, 35.63%, 0.52%,a2015a
13111,48.82%, 73.35%, 24.53%, 2.11%,bb053e
13113,30.60%, 64.77%, 34.17%, 1.05%,a50257
13115,36.25%, 67.40%, 31.15%, 1.45%,ab034f
13117,57.96%, 78.36%, 20.40%, 1.23%,c70334
13119,51.28%, 74.90%, 23.62%, 1.48%,be033c
13121,34.97%, 32.08%, 67.06%, 0.86%,5102ab
13123,51.80%, 75.17%, 23.37%, 1.47%,bf033b
13125,69.47%, 84.17%, 14.71%, 1.12%,d60225
13127,23.36%, 61.31%, 37.95%, 0.74%,9c0160
13129,50.10%, 74.27%, 24.17%, 1.55%,bd033d
13131,23.86%, 61.63%, 37.77%, 0.61%,9d0160
13133,15.06%, 57.21%, 42.15%, 0.63%,91016b
13135,10.22%, 54.56%, 44.35%, 1.09%,8b0271
13137,59.67%, 79.18%, 19.52%, 1.30%,c90331
13139,50.73%, 74.77%, 24.04%, 1.18%,be033d
13141,63.02%, 18.28%, 81.30%, 0.41%,2e01cf
13143,57.59%, 77.79%, 20.20%, 2.01%,c60533
13145,43.25%, 71.25%, 28.00%, 0.76%,b50147
13147,31.64%, 65.21%, 33.57%, 1.22%,a60355
13149,49.42%, 74.05%, 24.63%, 1.32%,bc033e
13151,7.45%, 53.29%, 45.85%, 0.86%,870274
13153,20.16%, 59.59%, 39.43%, 0.98%,970264
13155,36.67%, 67.84%, 31.17%, 0.99%,ac024f
13157,55.73%, 77.23%, 21.51%, 1.26%,c40336
13159,33.51%, 66.25%, 32.74%, 1.02%,a80253
13161,47.50%, 73.16%, 25.65%, 1.19%,ba0341
13163,15.04%, 42.31%, 57.35%, 0.35%,6b0092
13165,13.19%, 56.25%, 43.06%, 0.70%,8f016d
13167,33.64%, 66.47%, 32.82%, 0.71%,a90153
