id,margin,taft,wilson,other,roosevelt,other2,hex_color
26123,22.60%, 24.59%, 19.80%,49.309999999999995%, 47.19%,-,3e7d32
26125,3.60%, 35.46%, 31.86%,32.67%, 28.63%, 2.16%,5a5351
26127,26.03%, 23.00%, 21.36%,52.44%, 49.03%, 3.11%,3a8536
26129,10.70%, 31.64%, 18.65%,45.2%, 42.34%, 2.51%,50732f
26131,11.78%, 41.13%, 20.54%,30.490000000000002%, 29.35%,-,684d34
26133,2.89%, 37.03%, 17.27%,42.760000000000005%, 39.92%, 2.67%,5e6d2c
26135,14.16%, 32.45%, 19.47%,48.08%, 46.61%,-,527a31
26137,6.69%, 42.79%, 18.53%,38.68%, 36.10%,-,6d622f
26139,27.16%, 20.87%, 23.28%,52.04%, 50.43%,-,35843b
26141,8.26%, 37.42%, 13.30%,46.25%, 45.69%,-,5f7521
26143,20.74%, 22.60%, 25.30%,47.05%, 46.04%,-,397740
26145,1.01%, 27.94%, 32.46%,32.42%, 31.45%,-,475252
26147,13.15%, 27.48%, 27.95%,42.330000000000005%, 41.09%,-,466b47
26149,0.11%, 19.03%, 37.13%,38.79%, 37.24%,-,30625e
26151,15.59%, 32.19%, 17.26%,50.55%, 47.79%,-,52802c
26153,1.59%, 37.95%, 21.49%,37.43%, 36.35%,-,605f36
26155,7.59%, 30.05%, 25.47%,41.230000000000004%, 37.64%, 3.42%,4c6940
26157,10.75%, 34.65%, 16.99%,48.35%, 45.40%, 2.00%,587b2b
26159,9.78%, 29.01%, 27.53%,40.01%, 38.79%,-,496646
26161,4.95%, 23.64%, 39.45%,36.92%, 34.50%,-,3c5e64
26163,9.14%, 30.08%, 25.65%,40.129999999999995%, 39.22%,-,4c6641
26165,15.66%, 26.52%, 20.15%,45.68%, 42.18%, 3.11%,437433
27001,20.60%, 17.38%, 19.83%,44.650000000000006%, 40.42%, 3.46%,2c7132
27003,6.64%, 27.03%, 28.43%,40.21%, 35.06%, 4.43%,446648
27005,20.35%, 16.76%, 24.10%,50.67%, 44.45%, 5.43%,2a813d
27007,2.55%, 16.20%, 26.12%,28.89%, 26.25%,-,294942
27009,8.65%, 24.38%, 29.27%,40.260000000000005%, 37.92%,-,3e664a
27011,5.13%, 14.56%, 40.39%,39.199999999999996%, 35.26%, 3.70%,256366
27013,8.43%, 25.40%, 38.27%,32.84%, 29.84%, 2.66%,405361
27015,13.16%, 14.93%, 42.99%,31.06%, 29.83%,-,264f6d
27017,18.71%, 10.94%, 24.39%,47.31%, 43.10%, 3.44%,1b783e
27019,2.72%, 26.86%, 36.50%,36.64%, 33.78%,-,445d5d
27021,6.10%, 20.55%, 26.94%,36.239999999999995%, 33.05%, 2.43%,345c44
27023,9.88%, 15.48%, 32.68%,47.260000000000005%, 42.56%, 4.36%,277853
27025,46.69%, 13.31%, 16.73%,65.04%, 63.42%,-,21a52a
27027,11.73%, 17.99%, 30.87%,45.620000000000005%, 42.60%, 2.59%,2d744e
27029,30.32%, 11.42%, 11.23%,55.98%, 51.69%, 3.01%,1d8e1c
27031,30.75%, 8.62%, 18.68%,55.18%, 49.43%, 4.31%,158c2f
27033,25.83%, 16.11%, 25.33%,53.9%, 51.17%,-,298940
27035,10.40%, 20.96%, 21.50%,35.22%, 32.73%,-,355936
27037,3.94%, 14.20%, 41.42%,39.809999999999995%, 37.48%, 2.03%,246569
