statecounty,Margin,McCain,Obama,Other
13179,28.33%, 35.54%, 63.87%, 0.60%
13181,24.43%, 61.73%, 37.30%, 0.97%
13183,24.02%, 61.24%, 37.23%, 1.53%
13185,9.36%, 54.19%, 44.83%, 0.98%
13187,51.67%, 74.95%, 23.28%, 1.76%
13189,14.92%, 57.11%, 42.19%, 0.70%
13191,6.05%, 52.63%, 46.58%, 0.79%
13193,30.88%, 34.35%, 65.23%, 0.42%
13195,46.29%, 72.38%, 26.09%, 1.53%
13197,12.26%, 55.58%, 43.32%, 1.10%
13199,5.43%, 52.34%, 46.91%, 0.75%
13201,39.45%, 69.31%, 29.85%, 0.84%
13205,4.05%, 51.66%, 47.61%, 0.73%
13207,31.51%, 65.31%, 33.80%, 0.89%
13209,41.08%, 70.16%, 29.08%, 0.75%
13211,31.60%, 65.32%, 33.73%, 0.95%
13213,45.02%, 71.46%, 26.43%, 2.11%
13215,19.67%, 39.87%, 59.54%, 0.59%
13217,1.18%, 49.03%, 50.21%, 0.77%
13219,42.48%, 70.57%, 28.09%, 1.33%
13221,29.58%, 64.12%, 34.54%, 1.35%
13223,38.48%, 68.67%, 30.19%, 1.15%
13225,6.73%, 46.20%, 52.94%, 0.86%
13227,57.82%, 78.08%, 20.25%, 1.67%
13229,62.48%, 80.92%, 18.43%, 0.65%
13231,60.48%, 79.64%, 19.16%, 1.20%
13233,40.97%, 69.60%, 28.63%, 1.77%
13235,29.68%, 64.44%, 34.76%, 0.81%
13237,31.34%, 65.28%, 33.94%, 0.78%
13239,7.89%, 45.61%, 53.49%, 0.90%
13241,45.67%, 71.89%, 26.22%, 1.90%
13243,14.39%, 42.59%, 56.98%, 0.44%
13245,31.80%, 33.80%, 65.60%, 0.60%
13247,9.54%, 44.78%, 54.32%, 0.89%
13249,44.45%, 72.00%, 27.54%, 0.46%
13251,6.15%, 52.77%, 46.62%, 0.62%
13253,16.35%, 57.77%, 41.43%, 0.80%
13255,18.75%, 58.85%, 40.09%, 1.06%
13257,47.23%, 72.87%, 25.63%, 1.50%
13259,24.75%, 37.13%, 61.88%, 1.00%
13261,6.01%, 46.65%, 52.66%, 0.69%
13263,28.86%, 35.15%, 64.01%, 0.84%
13265,30.71%, 34.24%, 64.95%, 0.81%
13267,41.60%, 70.32%, 28.72%, 0.95%
13269,13.52%, 56.34%, 42.82%, 0.84%
13271,14.26%, 56.81%, 42.55%, 0.64%
13273,13.82%, 42.75%, 56.57%, 0.68%
13275,15.80%, 57.54%, 41.74%, 0.71%
13277,32.81%, 66.09%, 33.28%, 0.62%
13279,38.07%, 68.61%, 30.54%, 0.85%
13281,50.33%, 74.46%, 24.13%, 1.41%
13283,24.11%, 61.65%, 37.54%, 0.81%
13285,18.94%, 59.04%, 40.11%, 0.85%
13287,18.81%, 58.94%, 40.13%, 0.93%
13289,6.97%, 46.15%, 53.12%, 0.73%
13291,51.70%, 74.96%, 23.26%, 1.79%
13293,28.25%, 63.77%, 35.52%, 0.72%
13295,46.57%, 72.33%, 25.77%, 1.90%
13297,52.06%, 75.54%, 23.47%, 0.99%
13299,34.39%, 66.83%, 32.44%, 0.73%
13301,17.54%, 40.83%, 58.38%, 0.79%
13303,4.40%, 47.49%, 51.89%, 0.62%
13305,44.85%, 71.88%, 27.03%, 1.10%
13307,6.57%, 52.93%, 46.35%, 0.72%
13309,27.73%, 63.60%, 35.86%, 0.54%
13311,58.27%, 78.41%, 20.13%, 1.46%
13313,39.81%, 69.20%, 29.39%, 1.42%
13315,37.33%, 68.24%, 30.91%, 0.85%
13317,7.71%, 53.46%, 45.75%, 0.79%
13319,1.09%, 50.21%, 49.12%, 0.66%
13321,38.63%, 68.96%, 30.33%, 0.72%
15001,53.73%, 22.22%, 75.94%, 1.84%
15003,41.09%, 28.74%, 69.83%, 1.44%
15005,0%,-,-,-
15007,52.05%, 22.94%, 74.99%, 2.07%
