id,1988,1992,1996,2000,2004,2008,2012
13055,-24.8,8.4,7.8,-14.1,-27.8,-35.7,-40.9
13057,-53.6,-27.2,-35.5,-49.2,-58.9,-51,-57.5
13059,0,17,17.2,11.5,17.8,31.2,28.7
13061,19.9,42.9,43.3,29.2,22,22.2,23.1
13063,-31.3,3.3,18.3,32.7,41.5,66.3,70
13065,-18.4,-1.7,9.4,-14.3,-33.1,-25.5,-30.2
13067,-45.9,-20.2,-20.1,-22.9,-24.8,-9.4,-12.4
13069,-18.2,-6,-6.5,-22.9,-35,-29.5,-29
13071,-30.5,-7.6,-7.1,-33,-41.9,-37.5,-39.5
13073,-55.9,-33.9,-40.1,-49.1,-51.1,-42.6,-42.9
13075,-11.8,11.4,12.5,-16.2,-27.7,-28.9,-31.3
13077,-39.2,-13.2,-22.9,-39.3,-49.4,-41.1,-44
13079,4,21.2,7.8,-13.3,-29,-29.1,-32.3
13081,-26.4,6.2,3.5,-18.2,-24.1,-17.8,-13.7
13083,-38.7,-8.5,-12,-33.8,-40.7,-48,-50.6
13085,-42.7,-7.7,-21.1,-46.7,-64.6,-66.2,-74.1
13087,-24.3,0.7,3,-10.3,-19.8,-14.1,-11.8
13089,1.3,25.2,37.4,43.5,45.9,58.6,56.6
13091,-10.5,11.4,3.7,-19.5,-31.4,-35.8,-35.7
13093,7.5,28.3,30.4,8.9,3.1,3.6,7
13095,-9.7,9,16,15.2,18.1,34.9,39.1
13097,-45,-16.8,-18.3,-25,-23.4,1.8,4
13099,-17.1,12.4,8.4,-8.9,-18.8,-2,3.9
13101,-26.4,-5.4,-3.6,-38.1,-53.1,-65.7,-67.3
