statecounty,margin,bush,clinton,perot
08119,16.24%, 44.11%, 27.09%, 27.87%
08121,22.77%, 48.45%, 25.26%, 25.68%
08123,3.08%, 38.79%, 35.71%, 25.12%
08125,16.65%, 44.82%, 28.17%, 26.57%
09001,3.65%, 42.78%, 39.13%, 17.72%
09003,15.16%, 31.96%, 47.13%, 20.49%
09005,0.86%, 37.00%, 36.14%, 26.43%
09007,12.42%, 30.42%, 42.83%, 26.29%
09009,5.22%, 36.68%, 41.90%, 20.98%
09011,12.94%, 29.35%, 42.29%, 27.80%
09013,10.26%, 31.16%, 41.42%, 27.08%
09015,9.59%, 30.80%, 40.38%, 28.41%
10001,0.49%, 38.67%, 38.18%, 22.16%
10003,12.81%, 33.69%, 46.50%, 19.09%
10005,2.41%, 38.89%, 36.48%, 24.19%
11001,75.55%, 9.10%, 84.64%, 4.25%
12001,19.74%, 29.87%, 49.61%, 20.03%
12003,21.34%, 50.59%, 29.25%, 19.46%
12005,21.88%, 49.99%, 28.12%, 21.26%
12007,7.57%, 44.02%, 36.46%, 18.87%
12009,12.00%, 43.19%, 31.19%, 25.28%
12011,20.92%, 30.92%, 51.85%, 17.06%
12013,1.22%, 37.58%, 36.36%, 25.68%
12015,2.26%, 39.17%, 36.91%, 23.72%
12017,1.06%, 36.68%, 35.62%, 27.52%
12019,34.63%, 57.95%, 23.33%, 18.52%
12021,27.32%, 53.44%, 26.13%, 20.18%
12023,6.45%, 43.41%, 36.97%, 19.43%
12027,5.71%, 41.32%, 35.62%, 22.71%
12029,10.38%, 32.04%, 42.42%, 25.02%
12031,12.62%, 49.47%, 36.85%, 13.36%
12033,19.79%, 50.24%, 30.45%, 18.93%
12035,2.73%, 38.19%, 40.92%, 20.73%
12037,2.95%, 37.99%, 35.05%, 26.12%
12039,31.34%, 27.62%, 58.96%, 13.00%
12041,2.89%, 34.73%, 37.62%, 27.13%
12043,3.56%, 35.12%, 38.68%, 26.02%
12045,12.18%, 45.29%, 33.11%, 21.27%
12047,5.91%, 37.64%, 43.54%, 18.66%
12049,13.71%, 45.08%, 31.37%, 23.30%
12051,7.34%, 40.91%, 33.57%, 25.35%
12053,2.59%, 36.47%, 39.06%, 24.14%
12055,10.07%, 44.76%, 34.69%, 20.35%
12057,4.95%, 42.07%, 37.13%, 20.31%
12059,20.21%, 48.96%, 28.75%, 21.86%
12061,15.39%, 43.54%, 28.12%, 28.15%
12063,8.47%, 45.82%, 37.35%, 16.69%
12065,16.35%, 32.19%, 48.55%, 19.13%
12067,6.81%, 41.15%, 34.34%, 24.24%
12069,10.93%, 44.17%, 33.24%, 22.37%
12071,11.91%, 44.24%, 32.32%, 23.16%
12073,16.25%, 32.87%, 49.12%, 17.69%
12075,4.88%, 34.71%, 39.59%, 25.46%
12077,11.88%, 43.71%, 31.83%, 23.95%
12079,10.98%, 34.38%, 45.36%, 20.11%
12081,8.86%, 42.63%, 33.77%, 23.24%
12083,5.30%, 40.74%, 35.44%, 23.60%
12085,18.80%, 46.63%, 27.83%, 25.27%
12086,3.54%, 43.19%, 46.73%, 9.91%
12087,1.92%, 34.38%, 36.30%, 28.88%
12089,21.26%, 51.54%, 30.28%, 17.91%
12091,26.14%, 53.13%, 19.49%, 26.99%
12093,1.28%, 35.20%, 36.48%, 28.25%
12095,11.01%, 45.90%, 34.89%, 18.92%
12097,9.13%, 42.29%, 33.16%, 24.35%
12099,11.73%, 34.63%, 46.36%, 18.81%
12101,3.97%, 35.11%, 39.08%, 25.49%
12103,0.33%, 37.63%, 37.96%, 23.95%
12105,9.95%, 45.21%, 35.26%, 19.33%
12107,7.01%, 34.72%, 41.73%, 23.30%
12109,19.75%, 50.49%, 30.74%, 18.51%
12111,0.77%, 35.76%, 34.99%, 29.04%
12113,26.09%, 52.90%, 20.00%, 26.81%
12115,7.87%, 42.76%, 34.89%, 21.93%
12117,18.24%, 48.57%, 30.33%, 20.83%
12119,5.36%, 35.41%, 40.77%, 23.53%
12121,5.17%, 40.23%, 35.06%, 24.54%
12123,1.73%, 37.34%, 35.60%, 26.74%
12125,8.35%, 43.29%, 34.95%, 21.56%
12127,3.89%, 38.05%, 41.94%, 19.82%
12129,3.96%, 38.52%, 34.55%, 26.66%
12131,13.55%, 42.25%, 28.69%, 28.70%
12133,14.62%, 46.94%, 32.32%, 20.28%
13001,0.98%, 41.71%, 40.73%, 17.37%
13003,12.68%, 35.65%, 48.33%, 15.65%
13005,3.66%, 39.01%, 42.67%, 18.11%
13007,32.22%, 26.63%, 58.86%, 14.31%
13009,13.16%, 36.16%, 49.31%, 14.24%
13011,0.57%, 42.25%, 41.68%, 15.88%
13013,3.38%, 43.36%, 39.98%, 16.36%
13015,6.28%, 45.57%, 39.29%, 14.71%
13017,19.53%, 33.06%, 52.60%, 13.87%
13019,10.26%, 36.03%, 46.29%, 17.52%
13021,15.21%, 36.72%, 51.93%, 11.14%
13023,3.54%, 39.69%, 43.23%, 16.73%
13025,8.00%, 36.06%, 44.06%, 19.65%
13027,2.69%, 41.23%, 43.92%, 14.60%
13029,12.79%, 47.05%, 34.26%, 18.47%
13031,6.22%, 45.00%, 38.78%, 15.98%
13033,18.33%, 34.84%, 53.17%, 11.77%
13035,14.02%, 36.45%, 50.46%, 12.76%
13037,41.48%, 22.99%, 64.47%, 12.29%
13039,7.46%, 46.45%, 38.99%, 14.22%
13043,6.46%, 36.81%, 43.27%, 19.64%
13045,10.39%, 47.60%, 37.21%, 14.87%
13047,18.89%, 51.59%, 32.70%, 15.55%
13049,7.12%, 46.09%, 38.97%, 14.76%
13051,0.54%, 44.30%, 43.75%, 11.47%
13053,15.94%, 34.47%, 50.42%, 14.77%
13055,8.39%, 38.09%, 46.47%, 15.07%
13057,27.18%, 54.95%, 27.77%, 16.94%
13059,17.05%, 36.07%, 53.12%, 10.30%
13061,42.94%, 22.06%, 65.00%, 12.95%
13063,3.32%, 41.33%, 44.65%, 13.70%
13065,1.69%, 43.00%, 41.32%, 15.57%
13067,20.18%, 52.62%, 32.45%, 14.58%
13069,6.03%, 45.31%, 39.27%, 15.06%
13071,7.68%, 45.54%, 37.86%, 16.37%
13073,33.84%, 59.07%, 25.23%, 15.53%
13075,11.46%, 36.56%, 48.02%, 14.90%
13077,13.24%, 47.75%, 34.51%, 17.45%
13079,21.17%, 30.60%, 51.78%, 17.25%
13081,6.25%, 39.46%, 45.72%, 14.42%
